userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
Pengguna Google,1,2024-12-31 12:40:46,"potongan nya skr sangat tidak masuk akal,sudh hampir 10%",potongan nya skr sangat tidak masuk akalsudh hampir 10,potongan nya skr masuk akalsudh 10,"['potongan', 'nya', 'skr', 'masuk', 'akalsudh', '10']",potong nya skr masuk akalsudh 10,negatif
Pengguna Google,1,2024-12-31 12:36:03,Mending shopee daripada ini Ribet udah gitu adminnya mahal. Jangan pake tokopedia,mending shopee daripada ini ribet udah gitu adminnya mahal jangan pake tokopedia,mending shopee ribet udah gitu adminnya mahal pake tokopedia,"['mending', 'shopee', 'ribet', 'udah', 'gitu', 'adminnya', 'mahal', 'pake', 'tokopedia']",mending shopee ribet udah gitu adminnya mahal pake tokopedia,negatif
Pengguna Google,1,2024-12-31 12:29:26,Jualan makin susah hanya ada di Tokopedia Aplikasi banyak bug lemod padahal sinyal ngac*Ng,jualan makin susah hanya ada di tokopedia aplikasi banyak bug lemod padahal sinyal ngacng,jualan susah tokopedia aplikasi bug lemod sinyal ngacng,"['jualan', 'susah', 'tokopedia', 'aplikasi', 'bug', 'lemod', 'sinyal', 'ngacng']",jual susah tokopedia aplikasi bug lemod sinyal ngacng,negatif
Pengguna Google,1,2024-12-31 11:12:47,Fitur chat antara pembeli dan penjual sekarang sudah tidak ada filter. Sedangkan filter ini sangat membantu saat melihat apakah ada pesan yg terlewat atau tidak. Sehingga calon pembeli pun tidak terabaikan. 100 chat / hari. Pasti akan ada yg terlewat. Sejak integrasi dengan Tiktok bukan nya makin baik. Malah makin menyulitkan.,fitur chat antara pembeli dan penjual sekarang sudah tidak ada filter sedangkan filter ini sangat membantu saat melihat apakah ada pesan yg terlewat atau tidak sehingga calon pembeli pun tidak terabaikan 100 chat  hari pasti akan ada yg terlewat sejak integrasi dengan tiktok bukan nya makin baik malah makin menyulitkan,fitur chat pembeli penjual filter filter membantu pesan yg terlewat calon pembeli terabaikan 100 chat yg terlewat integrasi tiktok nya menyulitkan,"['fitur', 'chat', 'pembeli', 'penjual', 'filter', 'filter', 'membantu', 'pesan', 'yg', 'terlewat', 'calon', 'pembeli', 'terabaikan', '100', 'chat', 'yg', 'terlewat', 'integrasi', 'tiktok', 'nya', 'menyulitkan']",fitur chat beli jual filter filter bantu pesan yg lewat calon beli abai 100 chat yg lewat integrasi tiktok nya sulit,negatif
Pengguna Google,5,2024-12-31 11:04:58,Bagus.,bagus,bagus,['bagus'],bagus,positif
Pengguna Google,5,2024-12-31 09:45:16,Sukses terus,sukses terus,sukses,['sukses'],sukses,positif
Pengguna Google,1,2024-12-31 08:20:11,"tidak bisa ubah produk. tertulis error ""Mohon update produkmu melalui desktop"" di semua produk",tidak bisa ubah produk tertulis error mohon update produkmu melalui desktop di semua produk,ubah produk tertulis error mohon update produkmu desktop produk,"['ubah', 'produk', 'tertulis', 'error', 'mohon', 'update', 'produkmu', 'desktop', 'produk']",ubah produk tulis error mohon update produk desktop produk,negatif
Pengguna Google,5,2024-12-31 08:13:31,Terima kasih sangat membantu dalam penjualan.Mohon di tingkatkan lagi untuk upload foto agar di permudah.,terima kasih sangat membantu dalam penjualanmohon di tingkatkan lagi untuk upload foto agar di permudah,terima kasih membantu penjualanmohon tingkatkan upload foto permudah,"['terima', 'kasih', 'membantu', 'penjualanmohon', 'tingkatkan', 'upload', 'foto', 'permudah']",terima kasih bantu penjualanmohon tingkat upload foto mudah,positif
Pengguna Google,5,2024-12-31 07:01:03,Mantap pol,mantap pol,mantap pol,"['mantap', 'pol']",mantap pol,positif
Pengguna Google,5,2024-12-31 00:29:12,Ikeuhhh,ikeuhhh,ikeuhhh,['ikeuhhh'],ikeuhhh,positif
Pengguna Google,1,2024-12-31 00:00:16,"Saya selalu gagal saat verifikasi ktp,,alasan halaman web tidak tersedia,ini gimana solusinya,tolong dibantu admin",saya selalu gagal saat verifikasi ktpalasan halaman web tidak tersediaini gimana solusinyatolong dibantu admin,gagal verifikasi ktpalasan halaman web tersediaini gimana solusinyatolong dibantu admin,"['gagal', 'verifikasi', 'ktpalasan', 'halaman', 'web', 'tersediaini', 'gimana', 'solusinyatolong', 'dibantu', 'admin']",gagal verifikasi ktpalasan halaman web ain gimana solusinyatolong bantu admin,negatif
