userName,at,content,text_tokens_stemmed,Label,Label NB,Label SVM
Pengguna Google,2024-12-31 12:40:46,"potongan nya skr sangat tidak masuk akal,sudh hampir 10%",potong nya skr masuk akalsudh 10,negatif,negatif,negatif
Pengguna Google,2024-12-31 12:36:03,Mending shopee daripada ini Ribet udah gitu adminnya mahal. Jangan pake tokopedia,mending shopee ribet udah gitu adminnya mahal pake tokopedia,negatif,negatif,negatif
Pengguna Google,2024-12-31 12:29:26,Jualan makin susah hanya ada di Tokopedia Aplikasi banyak bug lemod padahal sinyal ngac*Ng,jual susah tokopedia aplikasi bug lemod sinyal ngacng,negatif,positif,negatif
Pengguna Google,2024-12-31 11:12:47,Fitur chat antara pembeli dan penjual sekarang sudah tidak ada filter. Sedangkan filter ini sangat membantu saat melihat apakah ada pesan yg terlewat atau tidak. Sehingga calon pembeli pun tidak terabaikan. 100 chat / hari. Pasti akan ada yg terlewat. Sejak integrasi dengan Tiktok bukan nya makin baik. Malah makin menyulitkan.,fitur chat beli jual filter filter bantu pesan yg lewat calon beli abai 100 chat yg lewat integrasi tiktok nya sulit,negatif,negatif,negatif
Pengguna Google,2024-12-31 11:04:58,Bagus.,bagus,positif,positif,positif
Pengguna Google,2024-12-31 09:45:16,Sukses terus,sukses,positif,positif,positif
Pengguna Google,2024-12-31 08:20:11,"tidak bisa ubah produk. tertulis error ""Mohon update produkmu melalui desktop"" di semua produk",ubah produk tulis error mohon update produk desktop produk,negatif,negatif,negatif
Pengguna Google,2024-12-31 08:13:31,Terima kasih sangat membantu dalam penjualan.Mohon di tingkatkan lagi untuk upload foto agar di permudah.,terima kasih bantu penjualanmohon tingkat upload foto mudah,positif,positif,positif
Pengguna Google,2024-12-31 07:01:03,Mantap pol,mantap pol,positif,positif,positif
Pengguna Google,2024-12-31 00:29:12,Ikeuhhh,ikeuhhh,positif,positif,positif
Pengguna Google,2024-12-31 00:00:16,"Saya selalu gagal saat verifikasi ktp,,alasan halaman web tidak tersedia,ini gimana solusinya,tolong dibantu admin",gagal verifikasi ktpalasan halaman web ain gimana solusinyatolong bantu admin,negatif,negatif,negatif
Pengguna Google,2024-12-30 23:58:43,"Kurir J&T rekomendasi dari aplikasi ini, setiap kirim barang selalu ditanya apa isinya.... Pada awalnya lancar jaya kirim ke daerah tidak ada masalah, tp untuk bbrp kali ini J&T tidak memberikan struk dan pakat diminta taruh begitu saja & di pickup setelah beberapa jam. Yg jadi masalah sekarang paket saya tidak sampai kepada pembeli dan akan di kembalikan ke penjual yaitu saya, setelah masuk minggu kedua paket dibatalkan sistem padahal saya belum terima paket yg akan dikembalikan.. Bagaimana ini",kurir jt rekomendasi aplikasi kirim barang isi lancar jaya kirim daerah tp bbrp kali jt struk pakat taruh pickup jam yg paket beli kembali jual masuk minggu paket batal sistem terima paket yg kembali,negatif,negatif,negatif
Pengguna Google,2024-12-30 23:51:40,Ok,ok,positif,positif,positif
Pengguna Google,2024-12-30 23:47:18,Good job ya,good job ya,positif,positif,positif
Pengguna Google,2024-12-30 22:42:39,Ok,ok,positif,positif,positif
Pengguna Google,2024-12-30 20:33:22,Sangat membantu,bantu,positif,positif,positif
Pengguna Google,2024-12-30 20:16:01,Apk nya mantap sangat recommended buat calon miliarder,apk nya mantap recommended calon miliarder,positif,positif,positif
Pengguna Google,2024-12-30 20:09:49,"Sementara 4 dulu bintangnya, kalo udah jalan dengan baik bisa dibtambah lagi 1 bintangnya.",4 bintang kalo udah jalan dibtambah 1 bintang,positif,positif,positif
Pengguna Google,2024-12-30 20:02:58,"Sangat puas, dan sangat mmbantu",puas mmbantu,positif,positif,positif
