userName,at,content,text_tokens_stemmed,Label,Label NB
Pengguna Google,2025-01-04 12:26:34,"Ini adira gimana sih,saya mau lihat kontrak saya aja ko susah banget,dibikin gampang lah ,kaya tetangga , login,masukan no kotrak udah transparan tuh",adira gimana sihsaya lihat kontrak aja ko susah bangetdibikin gampang kaya tetangga loginmasukan no kotrak udah transparan tuh,negatif,negatif
Pengguna Google,2025-01-04 09:27:43,Oke,oke,positif,positif
Pengguna Google,2025-01-03 22:07:20,Buruk,buruk,negatif,negatif
Pengguna Google,2025-01-03 21:10:10,"tahun 2024 sampai 2025 bukannya di perbaiki ni aplikasi malah tetap eror belum ada kontrak aktif ,udah kasih tau petugasnya malah bilang eror aja 🗿",2024 2025 baik ni aplikasi eror kontrak aktif udah kasih tau tugas bilang eror aja,negatif,negatif
Pengguna Google,2025-01-03 18:57:38,kontrak tidak muncul di aplikasi,kontrak muncul aplikasi,negatif,negatif
Pengguna Google,2025-01-03 18:48:55,"Pembayaran yg mudah tidak perlu ke kantor lagi,dan selalu dapet poin buat discount 😂🙏",bayar yg mudah kantor lagidan dapet poin discount,positif,positif
Pengguna Google,2025-01-03 18:21:58,Makasih Adiraku,makasih adiraku,positif,positif
Pengguna Google,2025-01-03 15:11:25,"Denda Adira selalu memberatkan konsumen,selalu uang mendesak,uang haram menjadi halal untuk denda nya terlalu berat sekali,selalu memakan orang yang lemah,klo orang besar dia takut ,Karana ada orang dalam dia pasti tunduk.👎",denda adira berat konsumenselalu uang mendesakuang haram halal denda nya berat sekaliselalu makan orang lemahklo orang takut karana orang tunduk,negatif,negatif
Pengguna Google,2025-01-03 11:58:03,Ok,ok,positif,positif
Pengguna Google,2025-01-03 08:17:53,Lebih cepat dan aman,cepat aman,positif,positif
Pengguna Google,2025-01-03 07:14:20,semoga bermanfaat,moga manfaat,positif,positif
Pengguna Google,2025-01-02 23:24:24,Pengajuan mudah,aju mudah,positif,positif
Pengguna Google,2025-01-02 22:36:18,Good,good,positif,positif
Pengguna Google,2025-01-02 22:15:08,Ok mantap,ok mantap,positif,positif
Pengguna Google,2025-01-02 19:47:21,"dapet poin diadira katanya bisa ditukar, habis ditukar voucher belanja katanya gabisa dipake, aplikasi ga jelas",dapet poin diadira tukar habis tukar voucher belanja gabisa dipake aplikasi ga,negatif,negatif
Pengguna Google,2025-01-02 18:00:53,Siip,siip,positif,positif
Pengguna Google,2025-01-02 17:39:21,Jadi lebih mudah membayar angsuran,mudah bayar angsur,positif,positif
Pengguna Google,2025-01-02 13:35:02,Keren,keren,positif,positif
Pengguna Google,2025-01-02 13:22:45,"Tapi, saya gak bisa upgrade kaspro",gak upgrade kaspro,positif,negatif
Pengguna Google,2025-01-02 12:39:34,Cukup mmbantu,mmbantu,positif,positif
Pengguna Google,2025-01-02 11:58:17,Okkk,okkk,positif,positif
Pengguna Google,2025-01-02 11:37:54,- dgn agunan,dgn agun,negatif,positif
Pengguna Google,2025-01-02 11:13:53,"Sejauh ini dengan aplikasi adira cukup membantu, ga usah ribet"" keluar rumah ...cukup dr rumah jg udah oke bisa byar angsuran",aplikasi adira bantu ga ribet rumah dr rumah jg udah oke byar angsur,positif,positif
Pengguna Google,2025-01-02 09:06:35,Gampang di mudahkan segala urusan bisa lancar larena eh karena,gampang mudah urus lancar larena eh,positif,positif
Pengguna Google,2025-01-02 08:00:55,Sangat membantu,bantu,positif,positif
Pengguna Google,2025-01-02 07:08:04,"Bisa cek angsuran secara berkala dengan sendiri, tetapi biaya admin terlalu besar untuk kaspro",cek angsur kala biaya admin kaspro,positif,positif
Pengguna Google,2025-01-02 02:44:55,Sering nyandat aplikasi saat digunakan,nyandat aplikasi,negatif,negatif
Pengguna Google,2025-01-01 20:44:05,Memudahkan untuk membayar angsuran,mudah bayar angsur,positif,positif
Pengguna Google,2025-01-01 15:21:38,Sangat membantu untuk transaksi bayar angsuran,bantu transaksi bayar angsur,positif,positif
Pengguna Google,2025-01-01 15:06:21,Saya baru masuk,masuk,positif,negatif
Pengguna Google,2025-01-01 12:07:46,ok,ok,positif,positif
Pengguna Google,2025-01-01 11:18:24,Mantap,mantap,positif,positif
Pengguna Google,2025-01-01 11:02:26,bagus,bagus,positif,positif
Pengguna Google,2025-01-01 11:01:34,Tingkatkan,tingkat,positif,positif
Pengguna Google,2025-01-01 09:31:58,"Aplikasi sudah bagus,kontrak sudah tertera dan mudah di gunakan",aplikasi baguskontrak tera mudah,positif,positif
Pengguna Google,2025-01-01 09:19:30,Ok,ok,positif,positif
Pengguna Google,2025-01-01 08:02:34,Ini kenapaa saya tidak bisa membayar angsuran di apk adiraku biasanya bisa apa sedang off sistemnya?,kenapaa bayar angsur apk adiraku off sistem,negatif,positif
Pengguna Google,2024-12-31 15:35:55,mantap,mantap,positif,positif
Pengguna Google,2024-12-31 14:41:46,"Keren selalu ada potongan dari poin poin adira, terbantu dgn diskonan xiXi",keren potong poin poin adira bantu dgn diskon xixi,positif,positif
Pengguna Google,2024-12-31 14:38:34,Good,good,positif,positif
Pengguna Google,2024-12-31 14:21:04,"Tukar poin dj diskon akhir tahun selalu gagal,",tukar poin dj diskon gagal,negatif,negatif
Pengguna Google,2024-12-31 11:27:46,"Top up Kaspro saldo gak masuk - masuk, disuruh nunggu 1x24 jam, udah 1x24 jam disuruh upgrade premium, udah upgrade suruh nunggu lagi 1x24 jam. Jadi bikin telat bayar, terus masih didenda 😤",top up kaspro saldo gak masuk masuk suruh nunggu 1x24 jam udah 1x24 jam suruh upgrade premium udah upgrade suruh nunggu 1x24 jam bikin telat bayar denda,negatif,negatif
Pengguna Google,2024-12-31 10:28:53,Mudah dan aman sayangnya ga pernah dapat undian,mudah aman sayang ga undi,positif,positif
Pengguna Google,2024-12-31 07:41:52,Lebih gampang dan praktis buat pembayaran,gampang praktis bayar,positif,positif
Pengguna Google,2024-12-31 02:34:54,"debt collector cabang batam, suka ancam ancam nasabah, menghina, memaki, meskipun telat 1-10hari,. jangan ada yang mau ke lising ini, sebaiknya cari lising bank bumn saja",debt collector cabang batam suka ancam ancam nasabah hina maki telat 110hari lising cari lising bank bumn,negatif,negatif
Pengguna Google,2024-12-30 20:15:59,"Aplikasi pembodohan ,",aplikasi bodoh,negatif,negatif
Pengguna Google,2024-12-30 19:55:22,Transaksi sangat cepat gak ribet,transaksi cepat gak ribet,positif,positif
Pengguna Google,2024-12-30 19:30:56,Proses pengajuan kredit lewat aplikasi ini langsung direspon cepat,proses aju kredit aplikasi langsung direspon cepat,positif,positif
Pengguna Google,2024-12-30 16:20:15,Good,good,positif,positif
Pengguna Google,2024-12-30 13:35:16,Sangat terbantu dan luar biasa,bantu,positif,positif
Pengguna Google,2024-12-30 12:08:28,👍,,positif,positif
Pengguna Google,2024-12-30 12:04:48,Penukaran poin promo selalu gagal di proses💀,tukar poin promo gagal proses,negatif,positif
Pengguna Google,2024-12-29 18:13:05,Mantul tp kenapa setiap topup pasti di potong 3000,mantul tp topup potong 3000,positif,positif
Pengguna Google,2024-12-29 15:39:44,Bagus,bagus,positif,positif
Pengguna Google,2024-12-29 12:01:47,Bagus dan banyak fitur,bagus fitur,positif,positif
Pengguna Google,2024-12-29 10:42:10,Bagus dan mudah,bagus mudah,positif,positif
Pengguna Google,2024-12-29 08:59:32,Terbalik,balik,positif,positif
Pengguna Google,2024-12-29 08:27:26,"Terimakasih adiraku, update dan penggunaan layanannya sangat memuaskan banget, sat set beres dah.",terimakasih adiraku update guna layan muas banget sat set beres dah,positif,positif
Pengguna Google,2024-12-28 15:40:11,"Aplikasinya lemot bgt dan biaya adminnya kebanyakan. Top up kepotong admin, pas byar angsuran admin jga. Hadeeeuuhhh",aplikasi lot bgt biaya adminnya banyak top up potong admin pas byar angsur admin jga hadeeeuuhhh,negatif,negatif
Pengguna Google,2024-12-28 15:18:07,"Aplikasi super tolol, udah di masukin no ktp tetep ga bisa-bisa, hapus aja aplikasi ga guna",aplikasi super tolol udah masukin no ktp tetep ga bisabisa hapus aja aplikasi ga,negatif,negatif
Pengguna Google,2024-12-28 14:44:13,Good job,good job,positif,positif
Pengguna Google,2024-12-28 08:46:55,Mantap,mantap,positif,positif
Pengguna Google,2024-12-28 06:00:46,Applikasi nya Bagus sangat mempermudah pelanggan,applikasi nya bagus mudah langgan,positif,positif
Pengguna Google,2024-12-28 05:49:35,Bagus dan sangat membantu sekali,bagus bantu,positif,positif
Pengguna Google,2024-12-28 04:57:49,Good,good,positif,positif
Pengguna Google,2024-12-27 20:30:52,Good job,good job,positif,positif
Pengguna Google,2024-12-27 16:41:20,Ok,ok,positif,positif
Pengguna Google,2024-12-27 15:07:12,Good,good,positif,positif
Pengguna Google,2024-12-27 12:07:45,"Flash salenya cuma tipuan semata stiap kali gau tukarin poin tidak pernah berhasil, gagal trus, padahal stok masih ada, aku log in tepat waktu pukul 13.00 tapi tetap ajha tdk bisa di tukar, dasar penipu, klau GK niat ngasih GK usah buat event flas sale gtu. Apk taiiiiiiiiii GK guna sumpah",flash sale tipu stiap kali gau tukarin poin hasil gagal trus stok log in 1300 ajha tdk tukar dasar tipu klau gk niat ngasih gk event flas sale gtu apk taiiiiiiiiii gk sumpah,negatif,negatif
Pengguna Google,2024-12-27 11:42:41,"Mudah untuk melakukan pembayaran., Tapi sayang Aplikasinya Lemot., Yaa sementara aplikasi ini sangat Baik ,🙏👍",mudah bayar sayang aplikasi lot yaa aplikasi,positif,positif
Pengguna Google,2024-12-27 07:22:00,Kepana point adira tidak bisa di pakai untuk pemotongan angsuran,pana point adira pakai potong angsur,negatif,positif
Pengguna Google,2024-12-27 05:53:18,Mantappp,mantappp,positif,positif
Pengguna Google,2024-12-27 05:52:43,Good very well,good very well,positif,positif
Pengguna Google,2024-12-26 19:24:11,Membantu,bantu,positif,positif
Pengguna Google,2024-12-26 14:51:00,Mantap dan sangat membantu tidak ribet jg di saat pelunasan bpkb,mantap bantu ribet jg lunas bpkb,positif,positif
Pengguna Google,2024-12-26 11:15:10,"hati"" deh,jgan pernah ngajuin kredit disini,nyekik banget,apalagi kalau pelunasan,tambah nyekik lagi,gak tau rumus perhitungannya gimana,tapi ini udah kaya rentenir berkedok Finance,Gue salah satu nasabah yg ngalamin",hati dehjgan ngajuin kredit disininyekik bangetapalagi pelunasantambah nyekik lagigak tau rumus hitung gimanatapi udah kaya rentenir kedok financegue salah nasabah yg ngalamin,negatif,negatif
Pengguna Google,2024-12-26 06:32:22,Aplikasinya terlalu lalot bang,aplikasi lalot bang,positif,positif
Pengguna Google,2024-12-26 01:06:25,Sangat membantu men konsumen,bantu men konsumen,positif,positif
Pengguna Google,2024-12-25 14:52:56,Nicee,nicee,positif,positif
Pengguna Google,2024-12-25 06:12:08,"Aplikasi bego,keluar masuk mulu,lg proses pembayaran jg mesti keluar masuk. Upgrade dong woy ini udh mau tahun 2025. Gw saranin yg blm instal mending jangan dri pada bikin emosi ,salam akal waras.",aplikasi begokeluar masuk mululg proses bayar jg mesti masuk upgrade woy udh 2025 gw saranin yg blm instal mending dri bikin emosi salam akal waras,negatif,negatif
Pengguna Google,2024-12-24 22:08:53,Pinjam dana modal osaha,pinjam dana modal osaha,positif,positif
Pengguna Google,2024-12-24 21:20:42,"Akses mudah, penggunaan juga mudah",akses mudah guna mudah,positif,positif
Pengguna Google,2024-12-24 16:18:41,Bagus dan murah,bagus murah,positif,positif
Pengguna Google,2024-12-24 16:09:59,Sangat membatu untuk membayar angsuran,batu bayar angsur,positif,positif
Pengguna Google,2024-12-24 15:53:45,Cukup praktis Good job Nice app,praktis good job nice app,positif,positif
Pengguna Google,2024-12-24 14:11:46,Simple,simple,positif,positif
Pengguna Google,2024-12-24 13:22:26,"Saran dan masukan, hari ini tanggal 24 desember 2024 jam 13.00 wib saya mau mengambil BPKP di kantor adira Palangka Raya, ternyata setiba di kantor jam pelayanan BPKP ditutup sampai jam 11.30 wib tanpa memberitahukan informasi perubahan jam pelayanan kepada pihak konsumen, lain kali kalau ada perubahan jam pelayanan tolong di informasi kepada pihak konsumen.",saran masuk tanggal 24 desember 2024 jam 1300 wib ambil bpkp kantor adira palangka raya kantor jam layan bpkp tutup jam 1130 wib memberitahukan informasi ubah jam layan konsumen kali ubah jam layan tolong informasi konsumen,negatif,negatif
Pengguna Google,2024-12-24 11:09:28,Sangat lemot,lot,positif,negatif
Pengguna Google,2024-12-24 10:55:54,good,good,positif,positif
