userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
Pengguna Google,1,2025-01-04 12:26:34,"Ini adira gimana sih,saya mau lihat kontrak saya aja ko susah banget,dibikin gampang lah ,kaya tetangga , login,masukan no kotrak udah transparan tuh",ini adira gimana sihsaya mau lihat kontrak saya aja ko susah bangetdibikin gampang lah kaya tetangga  loginmasukan no kotrak udah transparan tuh,adira gimana sihsaya lihat kontrak aja ko susah bangetdibikin gampang kaya tetangga loginmasukan no kotrak udah transparan tuh,"['adira', 'gimana', 'sihsaya', 'lihat', 'kontrak', 'aja', 'ko', 'susah', 'bangetdibikin', 'gampang', 'kaya', 'tetangga', 'loginmasukan', 'no', 'kotrak', 'udah', 'transparan', 'tuh']",adira gimana sihsaya lihat kontrak aja ko susah bangetdibikin gampang kaya tetangga loginmasukan no kotrak udah transparan tuh,negatif
Pengguna Google,5,2025-01-04 09:27:43,Oke,oke,oke,['oke'],oke,positif
Pengguna Google,1,2025-01-03 22:07:20,Buruk,buruk,buruk,['buruk'],buruk,negatif
Pengguna Google,1,2025-01-03 21:10:10,"tahun 2024 sampai 2025 bukannya di perbaiki ni aplikasi malah tetap eror belum ada kontrak aktif ,udah kasih tau petugasnya malah bilang eror aja 🗿",tahun 2024 sampai 2025 bukannya di perbaiki ni aplikasi malah tetap eror belum ada kontrak aktif udah kasih tau petugasnya malah bilang eror aja ,2024 2025 perbaiki ni aplikasi eror kontrak aktif udah kasih tau petugasnya bilang eror aja,"['2024', '2025', 'perbaiki', 'ni', 'aplikasi', 'eror', 'kontrak', 'aktif', 'udah', 'kasih', 'tau', 'petugasnya', 'bilang', 'eror', 'aja']",2024 2025 baik ni aplikasi eror kontrak aktif udah kasih tau tugas bilang eror aja,negatif
Pengguna Google,2,2025-01-03 18:57:38,kontrak tidak muncul di aplikasi,kontrak tidak muncul di aplikasi,kontrak muncul aplikasi,"['kontrak', 'muncul', 'aplikasi']",kontrak muncul aplikasi,negatif
Pengguna Google,5,2025-01-03 18:48:55,"Pembayaran yg mudah tidak perlu ke kantor lagi,dan selalu dapet poin buat discount 😂🙏",pembayaran yg mudah tidak perlu ke kantor lagidan selalu dapet poin buat discount ,pembayaran yg mudah kantor lagidan dapet poin discount,"['pembayaran', 'yg', 'mudah', 'kantor', 'lagidan', 'dapet', 'poin', 'discount']",bayar yg mudah kantor lagidan dapet poin discount,positif
Pengguna Google,5,2025-01-03 18:21:58,Makasih Adiraku,makasih adiraku,makasih adiraku,"['makasih', 'adiraku']",makasih adiraku,positif
Pengguna Google,1,2025-01-03 15:11:25,"Denda Adira selalu memberatkan konsumen,selalu uang mendesak,uang haram menjadi halal untuk denda nya terlalu berat sekali,selalu memakan orang yang lemah,klo orang besar dia takut ,Karana ada orang dalam dia pasti tunduk.👎",denda adira selalu memberatkan konsumenselalu uang mendesakuang haram menjadi halal untuk denda nya terlalu berat sekaliselalu memakan orang yang lemahklo orang besar dia takut karana ada orang dalam dia pasti tunduk,denda adira memberatkan konsumenselalu uang mendesakuang haram halal denda nya berat sekaliselalu memakan orang lemahklo orang takut karana orang tunduk,"['denda', 'adira', 'memberatkan', 'konsumenselalu', 'uang', 'mendesakuang', 'haram', 'halal', 'denda', 'nya', 'berat', 'sekaliselalu', 'memakan', 'orang', 'lemahklo', 'orang', 'takut', 'karana', 'orang', 'tunduk']",denda adira berat konsumenselalu uang mendesakuang haram halal denda nya berat sekaliselalu makan orang lemahklo orang takut karana orang tunduk,negatif
Pengguna Google,5,2025-01-03 11:58:03,Ok,ok,ok,['ok'],ok,positif
Pengguna Google,5,2025-01-03 08:17:53,Lebih cepat dan aman,lebih cepat dan aman,cepat aman,"['cepat', 'aman']",cepat aman,positif
Pengguna Google,5,2025-01-03 07:14:20,semoga bermanfaat,semoga bermanfaat,semoga bermanfaat,"['semoga', 'bermanfaat']",moga manfaat,positif
Pengguna Google,5,2025-01-02 23:24:24,Pengajuan mudah,pengajuan mudah,pengajuan mudah,"['pengajuan', 'mudah']",aju mudah,positif
Pengguna Google,5,2025-01-02 22:36:18,Good,good,good,['good'],good,positif
Pengguna Google,5,2025-01-02 22:15:08,Ok mantap,ok mantap,ok mantap,"['ok', 'mantap']",ok mantap,positif
Pengguna Google,1,2025-01-02 19:47:21,"dapet poin diadira katanya bisa ditukar, habis ditukar voucher belanja katanya gabisa dipake, aplikasi ga jelas",dapet poin diadira katanya bisa ditukar habis ditukar voucher belanja katanya gabisa dipake aplikasi ga jelas,dapet poin diadira ditukar habis ditukar voucher belanja gabisa dipake aplikasi ga,"['dapet', 'poin', 'diadira', 'ditukar', 'habis', 'ditukar', 'voucher', 'belanja', 'gabisa', 'dipake', 'aplikasi', 'ga']",dapet poin diadira tukar habis tukar voucher belanja gabisa dipake aplikasi ga,negatif
Pengguna Google,5,2025-01-02 18:00:53,Siip,siip,siip,['siip'],siip,positif
Pengguna Google,5,2025-01-02 17:39:21,Jadi lebih mudah membayar angsuran,jadi lebih mudah membayar angsuran,mudah membayar angsuran,"['mudah', 'membayar', 'angsuran']",mudah bayar angsur,positif
Pengguna Google,5,2025-01-02 13:35:02,Keren,keren,keren,['keren'],keren,positif
Pengguna Google,5,2025-01-02 13:22:45,"Tapi, saya gak bisa upgrade kaspro",tapi saya gak bisa upgrade kaspro,gak upgrade kaspro,"['gak', 'upgrade', 'kaspro']",gak upgrade kaspro,positif
Pengguna Google,5,2025-01-02 12:39:34,Cukup mmbantu,cukup mmbantu,mmbantu,['mmbantu'],mmbantu,positif
Pengguna Google,5,2025-01-02 11:58:17,Okkk,okkk,okkk,['okkk'],okkk,positif
