score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
5,"Terletak di depan Lapangan Jetayu, menempati bangunan tua khas peninggalan kolonial ini menyimpan berbagai jenis batik tidak hanya Pekalongan tapi juga koleksi batik beberapa daerah. Cukup nyaman tempatnya, ber AC yg cukup dingin, menyajikan proses pembuatan batik dari awal sampai akhir. Disediakan juga layar LCD yg menampilkan informasi tentang batik, kalau membutuhkan bisa ditemani oleh Pemandu. Buka setiap hari dari jam 8 pagi smpai jam 3 sore.
Di bagian belakang kita bisa coba membatik dengan peralatan yg sudah disediakan oleh guide. Ada kantin di sini dan bangku2 panjang untuk istirahat. Beberapa foto2 industri batik tempo dulu dipajang di tembok musium.
Saran saya, koleksi batik mohon bisa diperbanyak karena tiap daerah di Indonesia punya ciri khas batik masing2. Juga yg gak kalah penting dibuat sejarah singkat model/type  zaman dulu sampai zaman now yg pastinya telah mengalami banyak perubahan sesuai zaman masing2.
Parkir motor langsung di depan musium. Parkir mobil atau bis pariwisata bisa di sekitar lapangan Jetayu.",terletak di depan lapangan jetayu menempati bangunan tua khas peninggalan kolonial ini menyimpan berbagai jenis batik tidak hanya pekalongan tapi juga koleksi batik beberapa daerah cukup nyaman tempatnya ber ac yg cukup dingin menyajikan proses pembuatan batik dari awal sampai akhir disediakan juga layar lcd yg menampilkan informasi tentang batik kalau membutuhkan bisa ditemani oleh pemandu buka setiap hari dari jam 8 pagi smpai jam 3 soredi bagian belakang kita bisa coba membatik dengan peralatan yg sudah disediakan oleh guide ada kantin di sini dan bangku2 panjang untuk istirahat beberapa foto2 industri batik tempo dulu dipajang di tembok musiumsaran saya koleksi batik mohon bisa diperbanyak karena tiap daerah di indonesia punya ciri khas batik masing2 juga yg gak kalah penting dibuat sejarah singkat modeltype  zaman dulu sampai zaman now yg pastinya telah mengalami banyak perubahan sesuai zaman masing2parkir motor langsung di depan musium parkir mobil atau bis pariwisata bisa di sekitar lapangan jetayu,terletak lapangan jetayu menempati bangunan tua khas peninggalan kolonial menyimpan jenis batik pekalongan koleksi batik daerah nyaman tempatnya ber ac yg dingin menyajikan proses pembuatan batik disediakan layar lcd yg menampilkan informasi batik membutuhkan ditemani pemandu buka jam 8 pagi smpai jam 3 soredi coba membatik peralatan yg disediakan guide kantin bangku2 istirahat foto2 industri batik tempo dipajang tembok musiumsaran koleksi batik mohon diperbanyak daerah indonesia ciri khas batik masing2 yg gak kalah sejarah singkat modeltype zaman zaman now yg pastinya mengalami perubahan sesuai zaman masing2parkir motor langsung musium parkir mobil bis pariwisata lapangan jetayu,"['terletak', 'lapangan', 'jetayu', 'menempati', 'bangunan', 'tua', 'khas', 'peninggalan', 'kolonial', 'menyimpan', 'jenis', 'batik', 'pekalongan', 'koleksi', 'batik', 'daerah', 'nyaman', 'tempatnya', 'ber', 'ac', 'yg', 'dingin', 'menyajikan', 'proses', 'pembuatan', 'batik', 'disediakan', 'layar', 'lcd', 'yg', 'menampilkan', 'informasi', 'batik', 'membutuhkan', 'ditemani', 'pemandu', 'buka', 'jam', '8', 'pagi', 'smpai', 'jam', '3', 'soredi', 'coba', 'membatik', 'peralatan', 'yg', 'disediakan', 'guide', 'kantin', 'bangku2', 'istirahat', 'foto2', 'industri', 'batik', 'tempo', 'dipajang', 'tembok', 'musiumsaran', 'koleksi', 'batik', 'mohon', 'diperbanyak', 'daerah', 'indonesia', 'ciri', 'khas', 'batik', 'masing2', 'yg', 'gak', 'kalah', 'sejarah', 'singkat', 'modeltype', 'zaman', 'zaman', 'now', 'yg', 'pastinya', 'mengalami', 'perubahan', 'sesuai', 'zaman', 'masing2parkir', 'motor', 'langsung', 'musium', 'parkir', 'mobil', 'bis', 'pariwisata', 'lapangan', 'jetayu']",letak lapang jetayu tempat bangun tua khas tinggal kolonial simpan jenis batik kalong koleksi batik daerah nyaman tempat ber ac yg dingin saji proses buat batik sedia layar lcd yg tampil informasi batik butuh tani pandu buka jam 8 pagi smpai jam 3 soredi coba batik alat yg sedia guide kantin bangku2 istirahat foto2 industri batik tempo pajang tembok musiumsaran koleksi batik mohon banyak daerah indonesia ciri khas batik masing2 yg gak kalah sejarah singkat modeltype zaman zaman now yg pasti alami ubah sesuai zaman masing2parkir motor langsung musium parkir mobil bis pariwisata lapang jetayu
5,"Baru pertama kemuseum ini, dan dari beberapa museum batik yg pernah aku kunjungi, koleksi di museum ini nggak terlalu banyak. Tapi ternyata karna sistem di museum ini koleksinya dirolling, jadi kalau mau lihat koleksi yg berbeda tanya dulu ke pihak museum jadwal ganti koleksinya  kapan ?? lokasinya gampang banget dicari, ada di titik 0 km Pekalongan. Gedungnya juga sangat standout, gedung kuno yang gede banget. Tour guide dan staff lain baik, ramah, murah senyum. Selain bisa lihat koleksi batik di museum ini juga ada perpustakaan yang koleksi buku tentang batiknya sangat lengkap, terus kita bisa langsung nyobain praktek bikin batik. Semua alat dan bahan sudah tersedia. Ada banyak pilihan cap batik yang bisa dipilih, kalau mau pakai canting juga boleh, pokoknya bebas mencoba. Overall kunjungan ke museum batik ini cukup berkesan ??????",baru pertama kemuseum ini dan dari beberapa museum batik yg pernah aku kunjungi koleksi di museum ini nggak terlalu banyak tapi ternyata karna sistem di museum ini koleksinya dirolling jadi kalau mau lihat koleksi yg berbeda tanya dulu ke pihak museum jadwal ganti koleksinya  kapan  lokasinya gampang banget dicari ada di titik 0 km pekalongan gedungnya juga sangat standout gedung kuno yang gede banget tour guide dan staff lain baik ramah murah senyum selain bisa lihat koleksi batik di museum ini juga ada perpustakaan yang koleksi buku tentang batiknya sangat lengkap terus kita bisa langsung nyobain praktek bikin batik semua alat dan bahan sudah tersedia ada banyak pilihan cap batik yang bisa dipilih kalau mau pakai canting juga boleh pokoknya bebas mencoba overall kunjungan ke museum batik ini cukup berkesan ,kemuseum museum batik yg kunjungi koleksi museum nggak karna sistem museum koleksinya dirolling lihat koleksi yg berbeda museum jadwal ganti koleksinya lokasinya gampang banget dicari titik 0 km pekalongan gedungnya standout gedung kuno gede banget tour guide staff ramah murah senyum lihat koleksi batik museum perpustakaan koleksi buku batiknya lengkap langsung nyobain praktek bikin batik alat bahan tersedia pilihan cap batik dipilih pakai canting pokoknya bebas mencoba overall kunjungan museum batik berkesan,"['kemuseum', 'museum', 'batik', 'yg', 'kunjungi', 'koleksi', 'museum', 'nggak', 'karna', 'sistem', 'museum', 'koleksinya', 'dirolling', 'lihat', 'koleksi', 'yg', 'berbeda', 'museum', 'jadwal', 'ganti', 'koleksinya', 'lokasinya', 'gampang', 'banget', 'dicari', 'titik', '0', 'km', 'pekalongan', 'gedungnya', 'standout', 'gedung', 'kuno', 'gede', 'banget', 'tour', 'guide', 'staff', 'ramah', 'murah', 'senyum', 'lihat', 'koleksi', 'batik', 'museum', 'perpustakaan', 'koleksi', 'buku', 'batiknya', 'lengkap', 'langsung', 'nyobain', 'praktek', 'bikin', 'batik', 'alat', 'bahan', 'tersedia', 'pilihan', 'cap', 'batik', 'dipilih', 'pakai', 'canting', 'pokoknya', 'bebas', 'mencoba', 'overall', 'kunjungan', 'museum', 'batik', 'berkesan']",museum museum batik yg kunjung koleksi museum nggak karna sistem museum koleksi dirolling lihat koleksi yg beda museum jadwal ganti koleksi lokasi gampang banget cari titik 0 km kalong gedung standout gedung kuno gede banget tour guide staff ramah murah senyum lihat koleksi batik museum pustaka koleksi buku batik lengkap langsung nyobain praktek bikin batik alat bahan sedia pilih cap batik pilih pakai canting pokok bebas coba overall kunjung museum batik kesan
5,Koleksi batik lengkap dan bisa hands-on nyoba membatik juga! Mudah dipahami dan WAJIB NYOBA MEMBATIK SOALNYA SESERU ITU ???????,koleksi batik lengkap dan bisa handson nyoba membatik juga mudah dipahami dan wajib nyoba membatik soalnya seseru itu ,koleksi batik lengkap handson nyoba membatik mudah dipahami wajib nyoba membatik seseru,"['koleksi', 'batik', 'lengkap', 'handson', 'nyoba', 'membatik', 'mudah', 'dipahami', 'wajib', 'nyoba', 'membatik', 'seseru']",koleksi batik lengkap handson nyoba batik mudah paham wajib nyoba batik seru
5,"Akhirnya kesampean buat mampir ke museum ini. HTM 7 ribu rupiah buat pengunjung dewasa.
Ada 3 ruang pamer, ruang audio visual (tadi belum bisa masuk ke ruang audio visual karena lagi ada problem), perpustakaan, musala, toilet, kantin, dan tempat untuk beli suvenir. Kalo mampir kesini bisa ikutan workshop batik.
Tempatnya bersih, info tentang koleksi museum sangat jelas, staff ramah, tempat parkir luas.
Beberapa catatan buat museum:
? AC di Ruang Pamer 2 dan 3 tidak dingin.
? Sebaiknya penjelasan tentang koleksi di lengkapi dengan bahasa inggris, karena tidak semua koleksi ada bahasa tersebut.
? Ada beberapa info tentang koleksi yang tidak ada BARCODE.
? Sebaiknya ditingkatkan lagi promosi melalui media sosial agar banyak pihak yang tertarik untuk mampir.",akhirnya kesampean buat mampir ke museum ini htm 7 ribu rupiah buat pengunjung dewasaada 3 ruang pamer ruang audio visual tadi belum bisa masuk ke ruang audio visual karena lagi ada problem perpustakaan musala toilet kantin dan tempat untuk beli suvenir kalo mampir kesini bisa ikutan workshop batiktempatnya bersih info tentang koleksi museum sangat jelas staff ramah tempat parkir luasbeberapa catatan buat museum ac di ruang pamer 2 dan 3 tidak dingin sebaiknya penjelasan tentang koleksi di lengkapi dengan bahasa inggris karena tidak semua koleksi ada bahasa tersebut ada beberapa info tentang koleksi yang tidak ada barcode sebaiknya ditingkatkan lagi promosi melalui media sosial agar banyak pihak yang tertarik untuk mampir,kesampean mampir museum htm 7 ribu rupiah pengunjung dewasaada 3 ruang pamer ruang audio visual masuk ruang audio visual problem perpustakaan musala toilet kantin beli suvenir kalo mampir kesini ikutan workshop batiktempatnya bersih info koleksi museum staff ramah parkir luasbeberapa catatan museum ac ruang pamer 2 3 dingin penjelasan koleksi lengkapi bahasa inggris koleksi bahasa info koleksi barcode ditingkatkan promosi media sosial tertarik mampir,"['kesampean', 'mampir', 'museum', 'htm', '7', 'ribu', 'rupiah', 'pengunjung', 'dewasaada', '3', 'ruang', 'pamer', 'ruang', 'audio', 'visual', 'masuk', 'ruang', 'audio', 'visual', 'problem', 'perpustakaan', 'musala', 'toilet', 'kantin', 'beli', 'suvenir', 'kalo', 'mampir', 'kesini', 'ikutan', 'workshop', 'batiktempatnya', 'bersih', 'info', 'koleksi', 'museum', 'staff', 'ramah', 'parkir', 'luasbeberapa', 'catatan', 'museum', 'ac', 'ruang', 'pamer', '2', '3', 'dingin', 'penjelasan', 'koleksi', 'lengkapi', 'bahasa', 'inggris', 'koleksi', 'bahasa', 'info', 'koleksi', 'barcode', 'ditingkatkan', 'promosi', 'media', 'sosial', 'tertarik', 'mampir']",sampean mampir museum htm 7 ribu rupiah unjung dewasaada 3 ruang pamer ruang audio visual masuk ruang audio visual problem pustaka musala toilet kantin beli suvenir kalo mampir kesini ikut workshop batiktempatnya bersih info koleksi museum staff ramah parkir luasbeberapa catat museum ac ruang pamer 2 3 dingin jelas koleksi lengkap bahasa inggris koleksi bahasa info koleksi barcode tingkat promosi media sosial tarik mampir
5,"Suka sekali, tiket nya Murmer cm 7000 per org. Bs melihat berbagai macam batik. Trs bisa coba gambar batiknya pake canting. Petugas nya sangat ramah2, aplg yg di area membatik. Cocok untk wisata keluarga dan anak2. Bisa mewarnai jg",suka sekali tiket nya murmer cm 7000 per org bs melihat berbagai macam batik trs bisa coba gambar batiknya pake canting petugas nya sangat ramah2 aplg yg di area membatik cocok untk wisata keluarga dan anak2 bisa mewarnai jg,suka tiket nya murmer cm 7000 org bs batik trs coba gambar batiknya pake canting petugas nya ramah2 aplg yg area membatik cocok untk wisata keluarga anak2 mewarnai jg,"['suka', 'tiket', 'nya', 'murmer', 'cm', '7000', 'org', 'bs', 'batik', 'trs', 'coba', 'gambar', 'batiknya', 'pake', 'canting', 'petugas', 'nya', 'ramah2', 'aplg', 'yg', 'area', 'membatik', 'cocok', 'untk', 'wisata', 'keluarga', 'anak2', 'mewarnai', 'jg']",suka tiket nya murmer cm 7000 org bs batik trs coba gambar batik pake canting tugas nya ramah2 aplg yg area batik cocok untk wisata keluarga anak2 warna jg
5,"Bulan oktober  bulan nya  musium batik  punya  hajat ,... Best destinasi   yh wajib di  di kunjungi  ketika  di  kota PEkalongan . Bayar tiket lokal  hanya  7  ribu  sudah  dapat ilmu  dan pengalaman  membatik dengan canting. parkir  di  bandrol 2 ribu perak   saja .
Makannan  depan musium juga terjangko untuk  sekedar ngemil  di sore  hari .. AYO datang  dan  kunjungi  KOTA BATIK PEKALONGAN",bulan oktober  bulan nya  musium batik  punya  hajat  best destinasi   yh wajib di  di kunjungi  ketika  di  kota pekalongan  bayar tiket lokal  hanya  7  ribu  sudah  dapat ilmu  dan pengalaman  membatik dengan canting parkir  di  bandrol 2 ribu perak   saja makannan  depan musium juga terjangko untuk  sekedar ngemil  di sore  hari  ayo datang  dan  kunjungi  kota batik pekalongan,oktober nya musium batik hajat best destinasi yh wajib kunjungi kota pekalongan bayar tiket lokal 7 ribu ilmu pengalaman membatik canting parkir bandrol 2 ribu perak makannan musium terjangko sekedar ngemil sore ayo kunjungi kota batik pekalongan,"['oktober', 'nya', 'musium', 'batik', 'hajat', 'best', 'destinasi', 'yh', 'wajib', 'kunjungi', 'kota', 'pekalongan', 'bayar', 'tiket', 'lokal', '7', 'ribu', 'ilmu', 'pengalaman', 'membatik', 'canting', 'parkir', 'bandrol', '2', 'ribu', 'perak', 'makannan', 'musium', 'terjangko', 'sekedar', 'ngemil', 'sore', 'ayo', 'kunjungi', 'kota', 'batik', 'pekalongan']",oktober nya musium batik hajat best destinasi yh wajib kunjung kota kalong bayar tiket lokal 7 ribu ilmu alam batik canting parkir bandrol 2 ribu perak makannan musium terjangko dar ngemil sore ayo kunjung kota batik kalong
5,"Tempatnya bersih dan terawat. Koleksi batiknya beragam dan bermacam-macam. Waktu pertama kali kesini kebetulan bersamaan dengan anak-anak sekolah, jadi ramai sekali dan tidak ada pemandunya. Agak bingung dari satu ruang ke ruangan yang lain karena pintunya tertutup. Untungnya ada pengunjung yang bisa ditanyai. Semoga pelayanannya bisa lebih ditingkatkan.",tempatnya bersih dan terawat koleksi batiknya beragam dan bermacammacam waktu pertama kali kesini kebetulan bersamaan dengan anakanak sekolah jadi ramai sekali dan tidak ada pemandunya agak bingung dari satu ruang ke ruangan yang lain karena pintunya tertutup untungnya ada pengunjung yang bisa ditanyai semoga pelayanannya bisa lebih ditingkatkan,tempatnya bersih terawat koleksi batiknya beragam bermacammacam kali kesini bersamaan anakanak sekolah ramai pemandunya bingung ruang ruangan pintunya tertutup untungnya pengunjung semoga pelayanannya ditingkatkan,"['tempatnya', 'bersih', 'terawat', 'koleksi', 'batiknya', 'beragam', 'bermacammacam', 'kali', 'kesini', 'bersamaan', 'anakanak', 'sekolah', 'ramai', 'pemandunya', 'bingung', 'ruang', 'ruangan', 'pintunya', 'tertutup', 'untungnya', 'pengunjung', 'semoga', 'pelayanannya', 'ditingkatkan']",tempat bersih awat koleksi batik agam bermacammacam kali kesini sama anakanak sekolah ramai pandu bingung ruang ruang pintu tutup untung unjung moga layan tingkat
5,"Pengalaman pertama kami sekeluarga dari Jawa Barat ke Museum Batik. Banyak ilmu dan pengalaman baru terutama bagi anak-anak. HTM dewasa Rp. 7.000, anak-anak Rp. 3000. Gratis membuat batik cap dan tulis tapi untuk pewarnaan dikenakan biaya Rp. 25.000 per lembar. Untuk biaya ini sebetulnya saya tidak tahu. Saya pikir semuanya sudah masuk dalam HTM tapi pengunjung di sebelah saya (yang kebetulan melakukan pewarnaan juga) menanyakan berapa biayanya sambil menyodorkan uang pada petugas. Setelah saya tanyakan pada petugas ternyata memang berbayar. Saran saya meskipun kegiatan pewarnaan ini optional, alangkah baiknya jika harga untuk kegiatan tersebut disampaikan saat membeli tiket di bagian depan. Insyaallah kalau kami ke Pekalongan lagi pasti mampir ke sini.",pengalaman pertama kami sekeluarga dari jawa barat ke museum batik banyak ilmu dan pengalaman baru terutama bagi anakanak htm dewasa rp 7000 anakanak rp 3000 gratis membuat batik cap dan tulis tapi untuk pewarnaan dikenakan biaya rp 25000 per lembar untuk biaya ini sebetulnya saya tidak tahu saya pikir semuanya sudah masuk dalam htm tapi pengunjung di sebelah saya yang kebetulan melakukan pewarnaan juga menanyakan berapa biayanya sambil menyodorkan uang pada petugas setelah saya tanyakan pada petugas ternyata memang berbayar saran saya meskipun kegiatan pewarnaan ini optional alangkah baiknya jika harga untuk kegiatan tersebut disampaikan saat membeli tiket di bagian depan insyaallah kalau kami ke pekalongan lagi pasti mampir ke sini,pengalaman sekeluarga jawa barat museum batik ilmu pengalaman anakanak htm dewasa rp 7000 anakanak rp 3000 gratis batik cap tulis pewarnaan dikenakan biaya rp 25000 lembar biaya pikir masuk htm pengunjung sebelah pewarnaan biayanya menyodorkan uang petugas petugas berbayar saran kegiatan pewarnaan optional alangkah baiknya harga kegiatan membeli tiket insyaallah pekalongan mampir,"['pengalaman', 'sekeluarga', 'jawa', 'barat', 'museum', 'batik', 'ilmu', 'pengalaman', 'anakanak', 'htm', 'dewasa', 'rp', '7000', 'anakanak', 'rp', '3000', 'gratis', 'batik', 'cap', 'tulis', 'pewarnaan', 'dikenakan', 'biaya', 'rp', '25000', 'lembar', 'biaya', 'pikir', 'masuk', 'htm', 'pengunjung', 'sebelah', 'pewarnaan', 'biayanya', 'menyodorkan', 'uang', 'petugas', 'petugas', 'berbayar', 'saran', 'kegiatan', 'pewarnaan', 'optional', 'alangkah', 'baiknya', 'harga', 'kegiatan', 'membeli', 'tiket', 'insyaallah', 'pekalongan', 'mampir']",alam keluarga jawa barat museum batik ilmu alam anakanak htm dewasa rp 7000 anakanak rp 3000 gratis batik cap tulis warna kena biaya rp 25000 lembar biaya pikir masuk htm unjung belah warna biaya sodor uang tugas tugas bayar saran giat warna optional alangkah baik harga giat beli tiket insyaallah kalong mampir
5,"Kalo ke Pekalongan tidak lengkap rasanya kalo tidak ke Museum Batik. Di museum yang berlokasi di gedung peninggalan belanda ini terdapat aneka jenis batik dari berbagai daerah di jawa & madura. Di setiap batik yang dipanjang ada keterangan asal batik maupun filosofinya. Ada guide yang bisa menerangkan juga. Disini bisa belajar membatik pakai canting & malam juga, yang hasil batiknya bisa dibawa pulang menjadi oleh-oleh. Tiket masuk per april '24 sebesar 7K/orang.",kalo ke pekalongan tidak lengkap rasanya kalo tidak ke museum batik di museum yang berlokasi di gedung peninggalan belanda ini terdapat aneka jenis batik dari berbagai daerah di jawa  madura di setiap batik yang dipanjang ada keterangan asal batik maupun filosofinya ada guide yang bisa menerangkan juga disini bisa belajar membatik pakai canting  malam juga yang hasil batiknya bisa dibawa pulang menjadi oleholeh tiket masuk per april 24 sebesar 7korang,kalo pekalongan lengkap kalo museum batik museum berlokasi gedung peninggalan belanda aneka jenis batik daerah jawa madura batik dipanjang keterangan batik filosofinya guide menerangkan belajar membatik pakai canting malam hasil batiknya dibawa pulang oleholeh tiket masuk april 24 7korang,"['kalo', 'pekalongan', 'lengkap', 'kalo', 'museum', 'batik', 'museum', 'berlokasi', 'gedung', 'peninggalan', 'belanda', 'aneka', 'jenis', 'batik', 'daerah', 'jawa', 'madura', 'batik', 'dipanjang', 'keterangan', 'batik', 'filosofinya', 'guide', 'menerangkan', 'belajar', 'membatik', 'pakai', 'canting', 'malam', 'hasil', 'batiknya', 'dibawa', 'pulang', 'oleholeh', 'tiket', 'masuk', 'april', '24', '7korang']",kalo kalong lengkap kalo museum batik museum lokasi gedung tinggal belanda aneka jenis batik daerah jawa madura batik panjang terang batik filosofi guide terang ajar batik pakai canting malam hasil batik bawa pulang oleholeh tiket masuk april 24 7korang
5,"Suka banget sama bangunan kuno dan pengetahuan tentang perbatikannya, dari mulai jenis motif, kain dan cara proses pembuatannya.",suka banget sama bangunan kuno dan pengetahuan tentang perbatikannya dari mulai jenis motif kain dan cara proses pembuatannya,suka banget bangunan kuno pengetahuan perbatikannya jenis motif kain proses pembuatannya,"['suka', 'banget', 'bangunan', 'kuno', 'pengetahuan', 'perbatikannya', 'jenis', 'motif', 'kain', 'proses', 'pembuatannya']",suka banget bangun kuno tahu bati jenis motif kain proses buat
