content,text_tokens_stemmed,Label,Label NB,Label NB Average
Bagus,bagus,positif,positif,positif
"Tempat edukasi bagus, tempat terawat walau masih dalam tahap pengembangan.. Tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh, tifak stroller friendly, bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1.tapi pertunjukan hewan nya bagus, hewan terawat",edukasi bagus awat tahap kembang jalan area tunjuk satwa pintu masuk amat tifak stroller friendly jalan yg bagus pejal kaki apalgi bawa anak lbh 1tapi tunjuk hewan nya bagus hewan awat,positif,positif,positif
"Atraksi lumba2nya sudah update. Sudah kesini 3 kali alhamdulillah selalu puas dengan atraksi lumba2nya. Pantainya bersih, enak buat mainan anak2",atraksi lumba2nya update kesini 3 kali alhamdulillah puas atraksi lumba2nya pantai bersih enak main anak2,positif,positif,positif
Coba aja pasti menyesal,coba aja sesal,negatif,positif,positif
"Cocok untuk berlibur bersama keluarga
Pentas LUMBA - LUMBA
Naik GAJAH ",cocok libur keluargapentas lumba lumbanaik gajah,positif,positif,positif
Pertunjukan satwa dan lumba lumba menarik,tunjuk satwa lumba lumba tarik,positif,positif,positif
tujuan yang bagus,tuju bagus,positif,positif,positif
"tempat wisata yang sangat bagus , sangat cocok untuk piknik keluarga",wisata bagus cocok piknik keluarga,positif,positif,positif
SERU BGT,seru bgt,positif,positif,positif
"Mantabs
Lebih keren lagi kalau ditanbah binatangnya",mantabslebih keren ditanbah binatang,positif,positif,positif
Lumba lumbanya bisa berenang keren,lumba lumbanya renang keren,positif,positif,positif
"untuk staffnya dari pintu masuk hingga di dalam ramah""...terutama buat yg jaga pintu masuk di lumba""...super sabar meskipun di bentak"" org tetap sabar dan ramah...",staffnya pintu masuk ramahterutama yg jaga pintu masuk lumbasuper sabar bentak org sabar ramah,positif,positif,positif
"Tiket masuk dewasa 70rb/orang, anak diatas 2th 50rb/anak. Dapat voucher 10rb/tiket.
Naik gajah 50rb/orang. Jadi kalau anak diatas 2th+pendamping harganya 100rb. ",tiket masuk dewasa 70rborang anak atas 2th 50rbanak voucher 10rbtiketnaik gajah 50rborang anak atas 2thpendamping harga 100rb,negatif,positif,positif
"Tidak recomended sama sekali.. Tiket mahal, wahana sedikit, ga boleh bawa makanan dr luar, beli didalam mesti pakai Qris.. Antri",recomended tiket mahal wahana ga bawa makan dr beli dalam mesti pakai qris antri,negatif,positif,positif
"Taman satwa di pantai,tiket masuk dws 80rb,anak 50rb.
Kl mau milih ke pantai aja jg bisa...
Sebelum masuk jg ada tiket masuk kawasan wisata 4rb per org. ",taman satwa pantaitiket masuk dws 80rbanak 50rbkl milih pantai aja jg bisasebelum masuk jg tiket masuk kawasan wisata 4rb org,positif,positif,positif
Staff nya dari pintu masuk sampai didalam ramah banget suasana nyaman dan santai buat keluarga harga wajar dan enak enak..... Anak anak betah berlama lama dengan suasananya ... Tiap mudik sepertinya wajib mampir melepas lelah,staff nya pintu masuk dalam ramah banget suasana nyaman santai keluarga harga wajar enak enak anak anak betah lama suasana mudik wajib mampir lepas lelah,positif,positif,positif
so comfy. enak banget untuk berlama-lama disini. family friendly banget. easy access kalau pakai kursi roda untuk makan di blu seafood-nya. pertunjukan lumba-lumbanya juga sangat menarik dan pertunjukan malamnya juga sangat keren. would like to comeback here to spend more time here ????. ,so comfy enak banget berlamalama family friendly banget easy access pakai kursi roda makan blu seafoodnya tunjuk lumbalumbanya tarik tunjuk malam keren would like to comeback here to spend more time here,positif,positif,positif
Malam tahun baru di Beach Safari Batang bersama keluarga sungguh disajikan suasana yg seru dan mengesankan. Keramahan semua team mulai dari area parkir sampai didalam area sangat tulus dan sangat mengesankan. Kopinya enak dan makanannya ,malam beach safari batang keluarga sungguh saji suasana yg seru kesan ramah team area parkir dalam area tulus kesan kopi enak makan,positif,positif,positif
"yah lumayanlah, stroller aja sampai susah buat jalan karna jalannya masih berbatuan",yah lumayan stroller aja susah jalan karna jalan batu,positif,positif,positif
Datang ke sini saat sedang renovasi di beberapa area tapi tetap puas karena ada atraksi hewan dan lumba-lumba ,renovasi area puas atraksi hewan lumbalumba,positif,positif,positif
Safari Jateng di Batang merupakan salah satu destinasi wisata keluarga yang terletak di kawasan pesisir pantai utara Jawa Tengah. Tempat ini menawarkan pengalaman wisata yang terjangkau dan menyenangkan dengan suasana alami khas pantai. ,safari jateng batang salah destinasi wisata keluarga letak kawasan pesisir pantai utara jawa tawar alam wisata jangkau senang suasana alami khas pantai,positif,positif,positif
"GBLK MAKANAN NITIP DI PENITIPAN ILANG SEMUA PAS MAU BALIK,YANG LAIN BAWA MASUK BOLEH MIKIR BLOK",gblk makan nitip titip ilang pas balikyang bawa masuk mikir blok,negatif,positif,positif
