content,text_tokens_stemmed,Label,Label NB
Lokasi strategis d tengah kota. Dosennya oke.  semoga semakin maju. Foto diambil dr lantai 6 kampus,lokasi strategis d kota dosen oke moga maju foto ambil dr lantai 6 kampus,positif,positif
"Salah satu universitas swasta dengan lokasi paling strategis di jantung kota Semarang (Kampus Mugas). Memiliki beberapa fakultas dengan program studi pilihan seperti fakultas ekonomi dan bisnis, fakultas hukum, fakultas TI, fakultas bahasa …",salah universitas swasta lokasi strategis jantung kota semarang kampus mugas milik fakultas program studi pilih fakultas ekonomi bisnis fakultas hukum fakultas ti fakultas bahasa,positif,positif
"Salah satu kampus terbaik dan legend di Kota Semarang, S1 maupun S2",salah kampus baik legend kota semarang s1 s2,positif,positif
"Kampus ini memiliki fasilitas yang lengkap dan modern, seperti perpustakaan yang luas, dan ruang kelas yang nyaman
Lingkungan kampus sangat hijau dan asri, memberikan suasana yang nyaman untuk …",kampus milik fasilitas lengkap modern pustaka luas ruang kelas nyamanlingkungan kampus hijau asri suasana nyaman,positif,positif
"Angkatan 2017 kelas reguler sore ,jurusan Ilmu Hukum
Kuliahnya menyenangkan ,ngasih nilainya gampang 🫶🏻🫶🏻🫶🏻 …",angkat 2017 kelas reguler sore jurus ilmu hukumkuliahnya senang ngasih nilai gampang,positif,positif
Pemandangan malam hari dari kampus UNISBANK,pandang malam kampus unisbank,positif,positif
Di lantai 7 terdapat ruang seminar yang cukup untuk 50-60 orang di dalamnya. Ruangannya cukup kondusif dengan bentuk melebar.,lantai 7 ruang seminar 5060 orang dalam ruang kondusif bentuk lebar,positif,positif
terimakasih kampus tercinta berkat ilmu nya dan bantuan dari Symphony Training Center saya bisa kerja di luar negeri sekarang,terimakasih kampus cinta berkat ilmu nya bantu symphony training center kerja negeri,positif,positif
"tempat bagus, luas ,bersih dan asri banget banyak tumbuhan tanaman. jadi semakin semangat belajar🥰 …",bagus luas bersih asri banget tumbuh tanam semangat ajar,positif,positif
"kampus oke
termasuk kampus lama eksis di Kota Semarang
saat ini banyak perubahan dilakukan
saya merekomendasikan masuk Unisbank",kampus oketermasuk kampus eks kota semarangsaat ubah dilakukansaya rekomendasi masuk unisbank,positif,positif
"salah satu univ dengan lokasi paling strategis di tengah kota. pemandangan bagus dari lt 9. kelas nyaman, belajar jadi lebih efektif.",salah univ lokasi strategis kota pandang bagus lt 9 kelas nyaman ajar efektif,positif,positif
Hmm~ baru tau kelas reguler / kelas pagi setiap bulan dipungut biaya... klo di universitas lain rata2 cuma bayar per semester dan g ada pungutan tiap bulan~ …,hmm tau kelas reguler kelas pagi pungut biaya klo universitas rata2 bayar semester g pungut,negatif,positif
"Klo mau kuliah dsni, harus rajin cari info dan rajin komplain. Karena staff manajemen ny kurang baik dan suka ada kesalahan, jd baru bisa kerja bener ny klo sudah d komplain. …",klo kuliah dsni rajin cari info rajin komplain staff manajemen ny suka salah jd kerja bener ny klo d komplain,negatif,positif
"pilihan pts yang terbaik dan berkualitas, tempat strategis,fasilitas ok dan di ampu dosen² yg ahli serta berkompeten di bidangnya.
bukan kaleng-kaleng",pilih pts baik kualitas strategisfasilitas ok ampu dosen yg ahli kompeten bidangnyabukan kalengkaleng,positif,positif
