score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
5,Lokasi strategis d tengah kota. Dosennya oke.  semoga semakin maju. Foto diambil dr lantai 6 kampus,lokasi strategis d tengah kota dosennya oke  semoga semakin maju foto diambil dr lantai 6 kampus,lokasi strategis d kota dosennya oke semoga maju foto diambil dr lantai 6 kampus,"['lokasi', 'strategis', 'd', 'kota', 'dosennya', 'oke', 'semoga', 'maju', 'foto', 'diambil', 'dr', 'lantai', '6', 'kampus']",lokasi strategis d kota dosen oke moga maju foto ambil dr lantai 6 kampus,positif
5,"Salah satu universitas swasta dengan lokasi paling strategis di jantung kota Semarang (Kampus Mugas). Memiliki beberapa fakultas dengan program studi pilihan seperti fakultas ekonomi dan bisnis, fakultas hukum, fakultas TI, fakultas bahasa …",salah satu universitas swasta dengan lokasi paling strategis di jantung kota semarang kampus mugas memiliki beberapa fakultas dengan program studi pilihan seperti fakultas ekonomi dan bisnis fakultas hukum fakultas ti fakultas bahasa ,salah universitas swasta lokasi strategis jantung kota semarang kampus mugas memiliki fakultas program studi pilihan fakultas ekonomi bisnis fakultas hukum fakultas ti fakultas bahasa,"['salah', 'universitas', 'swasta', 'lokasi', 'strategis', 'jantung', 'kota', 'semarang', 'kampus', 'mugas', 'memiliki', 'fakultas', 'program', 'studi', 'pilihan', 'fakultas', 'ekonomi', 'bisnis', 'fakultas', 'hukum', 'fakultas', 'ti', 'fakultas', 'bahasa']",salah universitas swasta lokasi strategis jantung kota semarang kampus mugas milik fakultas program studi pilih fakultas ekonomi bisnis fakultas hukum fakultas ti fakultas bahasa,positif
5,"Salah satu kampus terbaik dan legend di Kota Semarang, S1 maupun S2",salah satu kampus terbaik dan legend di kota semarang s1 maupun s2,salah kampus terbaik legend kota semarang s1 s2,"['salah', 'kampus', 'terbaik', 'legend', 'kota', 'semarang', 's1', 's2']",salah kampus baik legend kota semarang s1 s2,positif
5,"Kampus ini memiliki fasilitas yang lengkap dan modern, seperti perpustakaan yang luas, dan ruang kelas yang nyaman
Lingkungan kampus sangat hijau dan asri, memberikan suasana yang nyaman untuk …",kampus ini memiliki fasilitas yang lengkap dan modern seperti perpustakaan yang luas dan ruang kelas yang nyamanlingkungan kampus sangat hijau dan asri memberikan suasana yang nyaman untuk ,kampus memiliki fasilitas lengkap modern perpustakaan luas ruang kelas nyamanlingkungan kampus hijau asri suasana nyaman,"['kampus', 'memiliki', 'fasilitas', 'lengkap', 'modern', 'perpustakaan', 'luas', 'ruang', 'kelas', 'nyamanlingkungan', 'kampus', 'hijau', 'asri', 'suasana', 'nyaman']",kampus milik fasilitas lengkap modern pustaka luas ruang kelas nyamanlingkungan kampus hijau asri suasana nyaman,positif
5,"Angkatan 2017 kelas reguler sore ,jurusan Ilmu Hukum
Kuliahnya menyenangkan ,ngasih nilainya gampang 🫶🏻🫶🏻🫶🏻 …",angkatan 2017 kelas reguler sore jurusan ilmu hukumkuliahnya menyenangkan ngasih nilainya gampang  ,angkatan 2017 kelas reguler sore jurusan ilmu hukumkuliahnya menyenangkan ngasih nilainya gampang,"['angkatan', '2017', 'kelas', 'reguler', 'sore', 'jurusan', 'ilmu', 'hukumkuliahnya', 'menyenangkan', 'ngasih', 'nilainya', 'gampang']",angkat 2017 kelas reguler sore jurus ilmu hukumkuliahnya senang ngasih nilai gampang,positif
5,Pemandangan malam hari dari kampus UNISBANK,pemandangan malam hari dari kampus unisbank,pemandangan malam kampus unisbank,"['pemandangan', 'malam', 'kampus', 'unisbank']",pandang malam kampus unisbank,positif
5,Di lantai 7 terdapat ruang seminar yang cukup untuk 50-60 orang di dalamnya. Ruangannya cukup kondusif dengan bentuk melebar.,di lantai 7 terdapat ruang seminar yang cukup untuk 5060 orang di dalamnya ruangannya cukup kondusif dengan bentuk melebar,lantai 7 ruang seminar 5060 orang dalamnya ruangannya kondusif bentuk melebar,"['lantai', '7', 'ruang', 'seminar', '5060', 'orang', 'dalamnya', 'ruangannya', 'kondusif', 'bentuk', 'melebar']",lantai 7 ruang seminar 5060 orang dalam ruang kondusif bentuk lebar,positif
5,terimakasih kampus tercinta berkat ilmu nya dan bantuan dari Symphony Training Center saya bisa kerja di luar negeri sekarang,terimakasih kampus tercinta berkat ilmu nya dan bantuan dari symphony training center saya bisa kerja di luar negeri sekarang,terimakasih kampus tercinta berkat ilmu nya bantuan symphony training center kerja negeri,"['terimakasih', 'kampus', 'tercinta', 'berkat', 'ilmu', 'nya', 'bantuan', 'symphony', 'training', 'center', 'kerja', 'negeri']",terimakasih kampus cinta berkat ilmu nya bantu symphony training center kerja negeri,positif
5,"tempat bagus, luas ,bersih dan asri banget banyak tumbuhan tanaman. jadi semakin semangat belajar🥰 …",tempat bagus luas bersih dan asri banget banyak tumbuhan tanaman jadi semakin semangat belajar ,bagus luas bersih asri banget tumbuhan tanaman semangat belajar,"['bagus', 'luas', 'bersih', 'asri', 'banget', 'tumbuhan', 'tanaman', 'semangat', 'belajar']",bagus luas bersih asri banget tumbuh tanam semangat ajar,positif
5,"kampus oke
termasuk kampus lama eksis di Kota Semarang
saat ini banyak perubahan dilakukan
saya merekomendasikan masuk Unisbank",kampus oketermasuk kampus lama eksis di kota semarangsaat ini banyak perubahan dilakukansaya merekomendasikan masuk unisbank,kampus oketermasuk kampus eksis kota semarangsaat perubahan dilakukansaya merekomendasikan masuk unisbank,"['kampus', 'oketermasuk', 'kampus', 'eksis', 'kota', 'semarangsaat', 'perubahan', 'dilakukansaya', 'merekomendasikan', 'masuk', 'unisbank']",kampus oketermasuk kampus eks kota semarangsaat ubah dilakukansaya rekomendasi masuk unisbank,positif
5,"salah satu univ dengan lokasi paling strategis di tengah kota. pemandangan bagus dari lt 9. kelas nyaman, belajar jadi lebih efektif.",salah satu univ dengan lokasi paling strategis di tengah kota pemandangan bagus dari lt 9 kelas nyaman belajar jadi lebih efektif,salah univ lokasi strategis kota pemandangan bagus lt 9 kelas nyaman belajar efektif,"['salah', 'univ', 'lokasi', 'strategis', 'kota', 'pemandangan', 'bagus', 'lt', '9', 'kelas', 'nyaman', 'belajar', 'efektif']",salah univ lokasi strategis kota pandang bagus lt 9 kelas nyaman ajar efektif,positif
1,Hmm~ baru tau kelas reguler / kelas pagi setiap bulan dipungut biaya... klo di universitas lain rata2 cuma bayar per semester dan g ada pungutan tiap bulan~ …,hmm baru tau kelas reguler  kelas pagi setiap bulan dipungut biaya klo di universitas lain rata2 cuma bayar per semester dan g ada pungutan tiap bulan ,hmm tau kelas reguler kelas pagi dipungut biaya klo universitas rata2 bayar semester g pungutan,"['hmm', 'tau', 'kelas', 'reguler', 'kelas', 'pagi', 'dipungut', 'biaya', 'klo', 'universitas', 'rata2', 'bayar', 'semester', 'g', 'pungutan']",hmm tau kelas reguler kelas pagi pungut biaya klo universitas rata2 bayar semester g pungut,negatif
1,"Klo mau kuliah dsni, harus rajin cari info dan rajin komplain. Karena staff manajemen ny kurang baik dan suka ada kesalahan, jd baru bisa kerja bener ny klo sudah d komplain. …",klo mau kuliah dsni harus rajin cari info dan rajin komplain karena staff manajemen ny kurang baik dan suka ada kesalahan jd baru bisa kerja bener ny klo sudah d komplain ,klo kuliah dsni rajin cari info rajin komplain staff manajemen ny suka kesalahan jd kerja bener ny klo d komplain,"['klo', 'kuliah', 'dsni', 'rajin', 'cari', 'info', 'rajin', 'komplain', 'staff', 'manajemen', 'ny', 'suka', 'kesalahan', 'jd', 'kerja', 'bener', 'ny', 'klo', 'd', 'komplain']",klo kuliah dsni rajin cari info rajin komplain staff manajemen ny suka salah jd kerja bener ny klo d komplain,negatif
