-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1991 through 12/31/2020 
Location: Latitude  -2.98   Longitude 104.76 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS              MERRA-2 Earth Skin Temperature (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,TS,PRECTOTCORR
1991,1,1,25.76,13.27
1991,1,2,25.96,10.79
1991,1,3,25.88,7.28
1991,1,4,25.76,12.36
1991,1,5,25.74,9.0
1991,1,6,26.32,7.08
1991,1,7,26.45,1.61
1991,1,8,25.39,0.01
1991,1,9,25.65,0.86
1991,1,10,26.24,4.15
1991,1,11,26.35,6.0
1991,1,12,26.83,3.41
1991,1,13,25.98,5.23
1991,1,14,26.14,5.71
1991,1,15,25.79,13.79
1991,1,16,26.33,15.98
1991,1,17,25.87,8.01
1991,1,18,26.23,4.87
1991,1,19,25.78,5.71
1991,1,20,25.62,0.55
1991,1,21,26.29,9.79
1991,1,22,25.46,8.41
1991,1,23,25.04,3.47
1991,1,24,26.34,0.9
1991,1,25,26.91,5.99
1991,1,26,25.74,4.39
1991,1,27,25.16,25.77
1991,1,28,24.94,9.67
1991,1,29,25.59,1.48
1991,1,30,25.82,8.52
1991,1,31,25.56,2.96
1991,2,1,25.79,1.02
1991,2,2,25.21,6.42
1991,2,3,26.15,6.46
1991,2,4,25.47,5.69
1991,2,5,25.26,4.5
1991,2,6,25.5,8.93
1991,2,7,25.93,2.01
1991,2,8,25.65,7.22
1991,2,9,25.94,2.44
1991,2,10,25.62,11.3
1991,2,11,25.45,20.7
1991,2,12,25.88,6.33
1991,2,13,26.15,0.81
1991,2,14,26.5,0.45
1991,2,15,25.83,1.93
1991,2,16,26.24,12.43
1991,2,17,25.67,48.77
1991,2,18,24.5,47.14
1991,2,19,24.91,5.19
1991,2,20,25.58,0.74
1991,2,21,25.76,0.15
1991,2,22,25.5,1.34
1991,2,23,25.44,2.74
1991,2,24,24.83,1.37
1991,2,25,26.12,0.52
1991,2,26,26.65,0.45
1991,2,27,27.05,6.78
1991,2,28,25.45,23.61
1991,3,1,26.35,6.72
1991,3,2,26.76,1.8
1991,3,3,26.57,2.31
1991,3,4,26.97,0.01
1991,3,5,27.17,0.0
1991,3,6,27.25,1.14
1991,3,7,26.49,4.38
1991,3,8,26.28,31.67
1991,3,9,26.12,3.61
1991,3,10,26.94,4.51
