-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1991 through 12/31/2020 
Location: Latitude  -2.98   Longitude 104.76 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1991,5.27,10.55,5.27,5.27,5.27,0.0,0.0,0.0,0.0,0.0,5.27,15.82,5.27
PRECTOTCORR,1992,5.27,10.55,5.27,5.27,5.27,0.0,5.27,0.0,5.27,5.27,10.55,10.55,5.27
PRECTOTCORR,1993,5.27,5.27,10.55,10.55,0.0,5.27,5.27,0.0,0.0,0.0,10.55,10.55,5.27
PRECTOTCORR,1994,10.55,5.27,10.55,5.27,5.27,0.0,0.0,0.0,0.0,0.0,5.27,5.27,5.27
PRECTOTCORR,1995,10.55,10.55,10.55,10.55,5.27,5.27,5.27,0.0,5.27,5.27,10.55,5.27,5.27
PRECTOTCORR,1996,5.27,5.27,10.55,5.27,5.27,5.27,5.27,5.27,5.27,10.55,5.27,5.27,5.27
PRECTOTCORR,1997,5.27,10.55,10.55,10.55,10.55,0.0,0.0,0.0,0.0,0.0,0.0,10.55,5.27
PRECTOTCORR,1998,10.55,10.55,10.55,5.27,5.27,5.27,5.27,10.55,5.27,10.55,10.55,10.55,10.55
PRECTOTCORR,1999,10.55,5.27,10.55,5.27,5.27,5.27,5.27,0.0,0.0,5.27,10.55,10.55,5.27
PRECTOTCORR,2000,5.27,5.27,5.27,10.55,5.27,5.27,0.0,5.27,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2001,10.55,5.27,5.27,10.55,5.27,5.27,0.0,0.0,5.27,15.82,10.55,10.55,5.27
PRECTOTCORR,2002,10.55,5.27,10.55,5.27,5.27,0.0,10.55,0.0,0.0,0.0,10.55,5.27,5.27
PRECTOTCORR,2003,5.27,10.55,5.27,5.27,5.27,0.0,0.0,5.27,5.27,10.55,10.55,10.55,5.27
PRECTOTCORR,2004,5.27,10.55,5.27,5.27,5.27,0.0,5.27,0.0,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2005,10.55,5.27,15.82,10.55,10.55,5.27,5.27,5.27,5.27,5.27,10.55,10.55,10.55
PRECTOTCORR,2006,5.27,10.55,10.55,10.55,5.27,5.27,5.27,0.0,0.0,0.0,5.27,5.27,5.27
PRECTOTCORR,2007,15.82,5.27,5.27,15.82,5.27,5.27,5.27,0.0,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2008,5.27,5.27,10.55,5.27,0.0,0.0,5.27,5.27,5.27,5.27,15.82,10.55,5.27
PRECTOTCORR,2009,5.27,5.27,15.82,5.27,0.0,5.27,0.0,0.0,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2010,5.27,10.55,15.82,10.55,10.55,5.27,5.27,5.27,10.55,10.55,15.82,5.27,10.55
PRECTOTCORR,2011,10.55,10.55,10.55,15.82,5.27,5.27,0.0,0.0,0.0,10.55,10.55,10.55,5.27
PRECTOTCORR,2012,5.27,10.55,5.27,10.55,10.55,5.27,0.0,0.0,0.0,5.27,15.82,10.55,5.27
PRECTOTCORR,2013,10.55,10.55,15.82,5.27,5.27,5.27,5.27,5.27,5.27,5.27,10.55,15.82,10.55
PRECTOTCORR,2014,5.27,0.0,5.27,10.55,5.27,5.27,0.0,0.0,0.0,0.0,10.55,10.55,5.27
PRECTOTCORR,2015,5.27,5.27,10.55,10.55,5.27,5.27,0.0,0.0,0.0,0.0,5.27,5.27,5.27
PRECTOTCORR,2016,5.27,10.55,10.55,10.55,5.27,5.27,5.27,5.27,5.27,5.27,10.55,5.27,5.27
PRECTOTCORR,2017,10.55,10.55,10.55,10.55,10.55,0.0,5.27,5.27,5.27,10.55,5.27,10.55,5.27
PRECTOTCORR,2018,5.27,10.55,10.55,5.27,5.27,5.27,0.0,5.27,5.27,5.27,10.55,10.55,5.27
PRECTOTCORR,2019,10.55,10.55,10.55,10.55,5.27,5.27,5.27,0.0,0.0,0.0,5.27,15.82,5.27
PRECTOTCORR,2020,5.27,5.27,15.82,10.55,5.27,10.55,5.27,0.0,5.27,10.55,10.55,10.55,5.27
