YEAR,MO,DY,TS,PRECTOTCORR,T2M,PS,ALLSKY_SFC_UV_INDEX,T2M_MIN,T2M_MAX,T2M_RANGE,T2MWET,T2MDEW,T2M
1991,1,1,25.76,13.27,25.69,100.8,-999,23.65,28.69,5.03,24.83,23.97,25.69
1991,1,2,25.96,10.79,25.85,100.81,-999,23.49,29.25,5.76,24.77,23.69,25.85
1991,1,3,25.88,7.28,25.74,100.83,-999,23.29,29.28,5.99,24.76,23.76,25.74
1991,1,4,25.76,12.36,25.66,100.83,-999,23.55,28.64,5.09,24.9,24.14,25.66
1991,1,5,25.74,9,25.64,100.82,-999,23.62,28.48,4.87,24.83,24.04,25.64
1991,1,6,26.32,7.08,26.1,100.78,-999,23.44,30.39,6.95,24.81,23.52,26.1
1991,1,7,26.45,1.61,26.27,100.83,-999,23.19,30.36,7.16,24.89,23.51,26.27
1991,1,8,25.39,0.01,25.35,100.85,-999,23.23,28.01,4.77,24.18,23.01,25.35
1991,1,9,25.65,0.86,25.59,100.83,-999,23.59,28.71,5.11,24.48,23.37,25.59
1991,1,10,26.24,4.15,26.04,100.85,-999,23.33,29.8,6.47,24.79,23.54,26.04
1991,1,11,26.35,6,26.12,100.84,-999,23.02,30.01,6.99,24.96,23.79,26.12
1991,1,12,26.83,3.41,26.62,100.88,-999,23.8,30.94,7.15,25.36,24.1,26.62
1991,1,13,25.98,5.23,25.94,100.9,-999,24,28.89,4.89,25.13,24.31,25.94
1991,1,14,26.14,5.71,25.98,100.93,-999,23.69,29.49,5.8,24.89,23.8,25.98
1991,1,15,25.79,13.79,25.65,100.95,-999,23.02,29.12,6.09,24.67,23.7,25.65
1991,1,16,26.33,15.98,26.08,100.91,-999,22.81,30.12,7.3,24.93,23.79,26.08
1991,1,17,25.87,8.01,25.79,100.93,-999,23.48,28.91,5.43,24.92,24.05,25.79
1991,1,18,26.23,4.87,26.09,100.9,-999,23.44,30.3,6.85,25.05,24.02,26.09
1991,1,19,25.78,5.71,25.72,100.9,-999,23.66,28.58,4.92,24.88,24.05,25.72
1991,1,20,25.62,0.55,25.5,100.96,-999,23.31,28.77,5.46,24.55,23.61,25.5
1991,1,21,26.29,9.79,25.99,100.94,-999,22.82,30.04,7.23,24.83,23.69,25.99
1991,1,22,25.46,8.41,25.44,100.92,-999,23.23,28.59,5.36,24.6,23.76,25.44
1991,1,23,25.04,3.47,24.77,100.9,-999,21.4,28.69,7.3,23.84,22.92,24.77
1991,1,24,26.34,0.9,26.08,100.83,-999,23.1,30.21,7.11,24.65,23.24,26.08
1991,1,25,26.91,5.99,26.65,100.8,-999,23.15,31.08,7.93,25.18,23.72,26.65
1991,1,26,25.74,4.39,25.69,100.87,-999,23.43,28.79,5.36,24.74,23.79,25.69
1991,1,27,25.16,25.77,25.21,100.84,-999,23.44,27.23,3.8,24.76,24.32,25.21
1991,1,28,24.94,9.67,24.93,100.78,-999,23.6,26.97,3.37,24.39,23.85,24.93
1991,1,29,25.59,1.48,25.4,100.76,-999,22.55,29.09,6.55,24.27,23.15,25.4
1991,1,30,25.82,8.52,25.62,100.79,-999,22.9,29.57,6.66,24.58,23.53,25.62
1991,1,31,25.56,2.96,25.41,100.88,-999,23.33,28.98,5.64,24.33,23.26,25.41
1991,2,1,25.79,1.02,25.62,100.88,-999,22.93,29.56,6.64,24.55,23.48,25.62
1991,2,2,25.21,6.42,25.21,100.93,-999,23.18,27.64,4.47,24.35,23.5,25.21
1991,2,3,26.15,6.46,26.01,100.92,-999,23.47,29.6,6.14,24.88,23.76,26.01
1991,2,4,25.47,5.69,25.46,100.96,-999,23.73,28.01,4.28,24.74,24.02,25.46
1991,2,5,25.26,4.5,25.23,100.97,-999,23.08,28.58,5.5,24.26,23.31,25.23
1991,2,6,25.5,8.93,25.37,100.97,-999,22.49,29.37,6.87,24.44,23.5,25.37
1991,2,7,25.93,2.01,25.87,100.97,-999,23.18,29.39,6.21,24.7,23.53,25.87
1991,2,8,25.65,7.22,25.68,101.01,-999,23.7,29.14,5.44,24.54,23.39,25.68
1991,2,9,25.94,2.44,25.78,101.01,-999,22.99,29.65,6.66,24.76,23.74,25.78
1991,2,10,25.62,11.3,25.63,100.93,-999,23.37,28.4,5.03,24.83,24.03,25.63
1991,2,11,25.45,20.7,25.63,100.82,-999,23.87,28.62,4.75,24.92,24.2,25.63
1991,2,12,25.88,6.33,25.83,100.78,-999,23.33,29.08,5.75,25.02,24.21,25.83
1991,2,13,26.15,0.81,26.08,100.81,-999,23.38,29.65,6.27,24.98,23.86,26.08
1991,2,14,26.5,0.45,26.27,100.85,-999,23.71,29.95,6.24,25.11,23.95,26.27
1991,2,15,25.83,1.93,25.97,100.78,-999,24.22,29,4.78,25.21,24.45,25.97
1991,2,16,26.24,12.43,26.36,100.73,-999,24.03,29.93,5.9,25.26,24.16,26.36
1991,2,17,25.67,48.77,25.75,100.77,-999,24.14,27.69,3.55,25.21,24.67,25.75
1991,2,18,24.5,47.14,24.42,100.95,-999,22.15,27.57,5.42,23.54,22.65,24.42
1991,2,19,24.91,5.19,24.9,100.93,-999,22.03,28.56,6.53,24.05,23.19,24.9
1991,2,20,25.58,0.74,25.58,100.96,-999,22.76,29.01,6.24,24.61,23.62,25.58
1991,2,21,25.76,0.15,25.7,101.05,-999,22.4,29.3,6.91,24.5,23.3,25.7
1991,2,22,25.5,1.34,25.57,101.09,-999,23.35,28.33,4.98,24.68,23.79,25.57
1991,2,23,25.44,2.74,25.47,101.2,-999,23.39,28.19,4.8,24.62,23.76,25.47
1991,2,24,24.83,1.37,24.89,101.24,-999,23.32,27.19,3.86,24.13,23.38,24.89
1991,2,25,26.12,0.52,25.96,101.14,-999,22.46,30.2,7.74,24.7,23.45,25.96
1991,2,26,26.65,0.45,26.45,101.05,-999,23.08,30.64,7.56,25.16,23.87,26.45
1991,2,27,27.05,6.78,26.83,100.99,-999,23.62,30.86,7.23,25.51,24.2,26.83
1991,2,28,25.45,23.61,25.31,101.01,-999,22.77,28.64,5.87,24.53,23.74,25.31
1991,3,1,26.35,6.72,25.96,101.07,-999,21.94,30.92,8.97,24.44,22.92,25.96
1991,3,2,26.76,1.8,26.54,101.11,-999,23.29,30.53,7.24,25.26,23.97,26.54
1991,3,3,26.57,2.31,26.33,101.1,-999,23.52,30.31,6.79,25.23,24.12,26.33
1991,3,4,26.97,0.01,26.7,101.01,-999,23.51,31.33,7.82,25.07,23.44,26.7
1991,3,5,27.17,0,26.87,100.96,-999,22.89,31.43,8.54,25.29,23.7,26.87
1991,3,6,27.25,1.14,26.96,100.87,-999,23.75,30.97,7.22,25.64,24.31,26.96
1991,3,7,26.49,4.38,26.48,100.9,-999,23.92,30.21,6.3,25.4,24.32,26.48
1991,3,8,26.28,31.67,26.32,100.94,-999,24.4,29.59,5.19,25.34,24.37,26.32
1991,3,9,26.12,3.61,26.08,100.9,-999,23.64,29.06,5.42,25.03,23.98,26.08
1991,3,10,26.94,4.51,26.69,100.8,-999,23.44,30.87,7.42,25.37,24.05,26.69
1991,3,11,26.92,13.77,26.52,100.81,-999,23.21,30.99,7.78,25.24,23.96,26.52
1991,3,12,26.11,10.46,25.92,100.8,-999,23.46,29.19,5.73,25.04,24.15,25.92
1991,3,13,26.02,45.34,25.78,100.84,-999,23.15,29.76,6.61,24.8,23.83,25.78
1991,3,14,26.51,27.22,26.29,100.85,-999,23.76,30.14,6.38,25.28,24.27,26.29
1991,3,15,26.86,14.51,26.55,100.82,-999,23.39,30.49,7.09,25.33,24.12,26.55
1991,3,16,25.24,9.51,25.44,100.92,-999,24.22,26.97,2.75,24.79,24.12,25.44
1991,3,17,27.33,1.72,27.15,100.92,-999,23.55,31.62,8.06,25.62,24.08,27.15
1991,3,18,26.7,1.82,26.62,100.93,-999,24.57,29.83,5.26,25.69,24.77,26.62
1991,3,19,24.89,11.64,24.83,100.84,-999,23.27,26.8,3.52,24.19,23.55,24.83
1991,3,20,25.56,12.23,25.65,100.76,-999,23.42,28.46,5.04,24.8,23.94,25.65
1991,3,21,26.75,0.65,26.66,100.73,-999,23.28,30.37,7.09,25.43,24.19,26.66
1991,3,22,25.34,0.21,25.42,100.77,-999,23.87,26.98,3.11,24.79,24.15,25.42
1991,3,23,26.44,14.7,26.19,100.72,-999,22.89,30.14,7.26,25.26,24.31,26.19
1991,3,24,26.19,2.02,26.06,100.77,-999,23.3,29.72,6.43,25.11,24.15,26.06
1991,3,25,26.83,0.21,26.48,100.72,-999,23.05,30.48,7.43,25.26,24.04,26.48
1991,3,26,26.39,12.76,26.26,100.69,-999,24.34,29.44,5.1,25.39,24.51,26.26
1991,3,27,27.08,0.29,26.83,100.62,-999,23.34,31.41,8.07,25.58,24.34,26.83
1991,3,28,26.34,8.6,26.5,100.81,-999,23.21,29.51,6.3,25.43,24.35,26.5
1991,3,29,26.83,5.82,26.87,100.91,-999,24.62,30.3,5.67,25.7,24.52,26.87
1991,3,30,26.75,1.27,26.56,100.86,-999,23.8,30.21,6.41,25.41,24.27,26.56
1991,3,31,26.69,8.84,26.42,100.82,-999,23.61,30.2,6.6,25.25,24.08,26.42
1991,4,1,26.8,9.37,26.57,100.88,-999,23.51,30.68,7.17,25.3,24.02,26.57
1991,4,2,26.07,3.65,26.06,101,-999,23.96,29.52,5.56,25.25,24.44,26.06
1991,4,3,26.39,1.3,26.33,101.07,-999,23.26,30.04,6.79,24.93,23.53,26.33
1991,4,4,26.56,0.16,26.21,100.98,-999,22.83,30.26,7.43,24.96,23.72,26.21
1991,4,5,27.19,0.11,26.9,100.9,-999,23.52,30.61,7.09,25.53,24.15,26.9
1991,4,6,25.94,0.09,25.83,100.92,-999,23.73,28.4,4.67,25.11,24.37,25.83
1991,4,7,25.48,0.13,25.55,100.98,-999,22.35,29.13,6.78,24.16,22.77,25.55
1991,4,8,26.18,6.97,26.16,100.81,-999,22.98,29.36,6.38,25.06,23.96,26.16
1991,4,9,26.09,9.01,26.41,100.75,-999,23.92,29.07,5.15,25.33,24.26,26.41
1991,4,10,26.48,4.77,26.23,100.68,-999,22.83,30.19,7.37,25.19,24.13,26.23
1991,4,11,25.89,3.34,26.13,100.65,-999,23.45,29.15,5.7,25.13,24.14,26.13
1991,4,12,26.05,15.97,26.37,100.7,-999,24.06,29.27,5.2,25.26,24.14,26.37
1991,4,13,26.1,1.39,26.08,100.76,-999,23.11,29.46,6.35,24.9,23.73,26.08
1991,4,14,27.05,6.92,26.65,100.73,-999,23.05,30.9,7.86,25.4,24.14,26.65
1991,4,15,27.16,12.23,26.9,100.6,-999,23.94,30.78,6.84,25.78,24.65,26.9
1991,4,16,26.57,8.01,26.48,100.6,-999,24.12,29.68,5.57,25.62,24.75,26.48
1991,4,17,25.99,0.49,26.01,100.68,-999,24.06,28.62,4.55,25.2,24.39,26.01
1991,4,18,26.29,8.2,26.18,100.76,-999,23.81,29.81,6,24.97,23.76,26.18
1991,4,19,27.2,2.43,26.72,100.71,-999,22.52,31.48,8.95,25.32,23.91,26.72
1991,4,20,27.26,4.22,27.24,100.7,-999,24.33,30.44,6.1,26.12,25.01,27.24
1991,4,21,25.79,1.52,25.81,100.74,-999,24.81,27.45,2.64,25.2,24.59,25.81
1991,4,22,25.51,0.18,25.69,100.87,-999,23.58,27.93,4.35,24.79,23.88,25.69
1991,4,23,26.51,0.01,26.49,100.89,-999,23.37,30.1,6.73,25.23,23.97,26.49
1991,4,24,26.87,3.46,26.8,100.76,-999,23.94,30.48,6.55,25.71,24.62,26.8
1991,4,25,26.6,0.36,26.73,100.7,-999,23.99,29.99,6,25.31,23.88,26.73
1991,4,26,26.86,0.14,26.76,100.73,-999,24.32,30.04,5.73,25.41,24.06,26.76
1991,4,27,26.69,0.34,26.61,100.77,-999,24.25,29.8,5.55,25.41,24.21,26.61
1991,4,28,27.32,0,26.97,100.76,-999,23.31,30.98,7.66,25.63,24.3,26.97
1991,4,29,27.67,0.62,27.51,100.76,-999,24.11,31.07,6.95,26.34,25.18,27.51
1991,4,30,27.78,5.04,27.7,100.76,-999,24.3,31.05,6.74,26.34,24.98,27.7
1991,5,1,27.17,1.13,27.17,100.8,-999,24.28,30.25,5.97,25.98,24.79,27.17
1991,5,2,27.11,0.49,26.91,100.89,-999,23.9,30.61,6.71,25.69,24.47,26.91
1991,5,3,27.03,0.01,26.85,100.98,-999,23.47,30.8,7.33,25.71,24.56,26.85
1991,5,4,27.08,0.51,26.9,100.94,-999,23.83,30.6,6.76,25.75,24.6,26.9
1991,5,5,26.83,27.4,26.6,100.86,-999,23.65,30.13,6.48,25.69,24.78,26.6
1991,5,6,26.82,0.98,26.7,100.81,-999,24.08,29.8,5.73,25.75,24.8,26.7
