Label,text_tokens_stemmed,Label NB
positif,nyaman the best resposif,positif
negatif,ni gimanasii daritdi bikin akun register aja gabisa2 tlong lh sistem baik,negatif
negatif,gak masuk,negatif
negatif,maaf buka jobstreet register masuk ga buka,negatif
positif,good,positif
positif,real,positif
negatif,tolong ku gak enak numpang orang tua hina maki capek mohon nih aplikasi bantuin gw loker haram gua jalanin,negatif
positif,bagus,positif
positif,mudah cari lowong kerja langsung lamar,positif
negatif,umur umur pake aplikasi dapet kerja kerja panggil aja kagak,negatif
positif,suka,positif
positif,bismillah moga dapet kerja,positif
negatif,sbenernya bagus saran ku lebh filter loker nya banget usaha bodong nawarin loker palsu,negatif
positif,bagus info,positif
negatif,lokerpenipuwan masuk iya kelas jobstreet tida bajak akunpenipu,negatif
positif,moga cepat kerja,positif
negatif,sulit,negatif
negatif,apk taik loker palsu loker tipu loker ga loker formalitas aja loker fiktif,negatif
negatif,php doang,negatif
positif,bagus,positif
positif,bantu loker nasional,positif
negatif,yg ngadain event seminar ga lanjut reward ewallet yg tunggu h14 sampe h21 hahahaha ga amanah yaa,negatif
negatif,ga dapet kerja,negatif
negatif,gabisa login loading mulu,negatif
negatif,versi bug gk akses menu kecuali home,negatif
negatif,kesini buruk bnyk loker palsubodong,negatif
negatif,lowong expayed nglamar panggil apa,negatif
positif,aplikasi manfaat,positif
positif,senang aplikasi mudah informasi lowong kerja baru mudah,positif
positif,lulus sma derajat pingin masuk kerja avian alam marketing spv,positif
positif,good luck,positif
negatif,apk sdh diupdate 2hari login min,negatif
negatif,ga ampe ga nyangkut ga panggil kerja gilir pake aplikasi belah beneran loker panggil,negatif
negatif,aplikasi samaph tipu mengatasnamakan usah banyk usaha fiktif developer tomlol cari untung doang benerin syarat buat akun postingan info loker nya kya gin sya jdi hrd modal bayar iklhan mengatasnamakan usah fiktif,negatif
positif,mmqntap,positif
negatif,loker hoax panggil ruko kalo dapet,negatif
positif,informatifsemoga lamar nyantol,positif
positif,alam kerja bidang marketing jual pasar promosi,positif
negatif,semuamasih calo,negatif
negatif,kerja data yg sebar whatsapp ditawarin kerja apply usaha tsb cek usaha palsupenipu,negatif
negatif,didik s cingcau s dawetberkat aplikasi mudah kerja sesuai terimakasih jobstreet,positif
positif,10 kebun kakao 15 kebun kelapa sawit sbg asisten tanam,positif
positif,ok,positif
negatif,tipu lowong apk,negatif
negatif,aplikasi kontil ngelamar bolak gk update progressnya gk panggil,negatif
positif,wadah cari kerja moga depan aplikasi sedia tenaga kerja,positif
positif,bagus apk e yaa sulit banget cari kerja yaa allah tolong hamba ini,positif
negatif,lokasi kerja tdk sesuai,negatif
positif,perna helper welder,positif
negatif,daftar usaha yg apk tp panggil tes usaha bodong data cantum apk sebar usaha yg,negatif
positif,aplikasi qualified bantu cari kerja,positif
negatif,loker palsu usaha alamat tolong filter usaha daftar jobstreet developer tolong lanjut,negatif
negatif,tolong blokir yg beri kerja yg kantor ruko jl saharjo orang cari kerja ya cari duit dimintain duit usaha bodong yg jg yg mintain biaya admin dll dah,negatif
positif,bantu kerja dapat terimakasih,positif
positif,mantap,positif
positif,bantu,positif
positif,bantu dlm proses cari kerja,positif
negatif,usaha bodong yg posting loker d aplikasi aplikasi ga,negatif
positif,flexibel,positif
negatif,tiati ngelamar jobstreet tipu yg ngambil data lamar,negatif
negatif,data yg kirim bocor kirim pesan tawar kerja ujung tipu informasi database jobstreet,negatif
positif,bagus,positif
