userName,at,text_tokens_stemmed,Label,Label NB
Pengguna Google,2024-12-12 08:14:23,apply lamar bbrpa bbrpa minggu balas stiap perusaahan kerja kadaluwarsatutup gtu beda apk lulus mkanya jarang kali buka jobstreet,negatif,negatif
Pengguna Google,2024-12-12 04:27:59,worth it,negatif,negatif
Pengguna Google,2024-12-11 23:41:41,susah re login by seek gagal,negatif,negatif
Pengguna Google,2024-12-11 22:51:25,tolong baik aplikasi login eror gausah suruh screenshotan kasih bukti gaadaa perbaikann,negatif,negatif
Pengguna Google,2024-12-11 12:00:10,excellent,positif,positif
Pengguna Google,2024-12-11 11:18:40,good job,positif,positif
Pengguna Google,2024-12-11 10:16:22,ribet syarat lulus alam kerja bloon udah alam usia masuk sleksi tua mau setan,negatif,negatif
Pengguna Google,2024-12-11 04:58:22,ok google scatter superwinjp,positif,positif
Pengguna Google,2024-12-10 20:40:43,burukkk download login gak,negatif,negatif
Pengguna Google,2024-12-10 19:49:59,good,positif,positif
Pengguna Google,2024-12-10 19:40:24,udah kali download tetep gabisa login,negatif,negatif
Pengguna Google,2024-12-10 18:53:40,akun login susah jaring coba besok besok solusi ya login terima kasih,negatif,negatif
Pengguna Google,2024-12-10 13:03:21,jobstreet sihh akun trus suruh login lupa sandi nya ngubah sandi nya suruh verifikasi email gaada lanjut nya tolong baik udah coba daftar pake email tetep aja gabisa,negatif,negatif
Pengguna Google,2024-12-10 12:39:27,dear jobstreet tolong perhati kait database guna gak apply nomor dihubungimana pake nomor asing nomor indo tolong enkripsi private kait database guna,negatif,negatif
Pengguna Google,2024-12-10 11:53:17,complain ulang kali tindak benah aplikasi,negatif,negatif
Pengguna Google,2024-12-10 10:09:15,berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh,negatif,negatif
Pengguna Google,2024-12-10 10:07:08,aneh akun login ulang gabisa masuk halaman akun jobstreet,negatif,negatif
Pengguna Google,2024-12-10 09:46:56,ok,positif,positif
Pengguna Google,2024-12-10 08:05:29,terimakasih kerja jobstreet,positif,positif
Pengguna Google,2024-12-10 08:05:15,jobstreet aplikasi percaya usaha cari tenaga kerja cari kerja butuh informasi lowong kerja sukses jobstreet berkat bangsa indonesia usaha cari kerja,positif,positif
Pengguna Google,2024-12-09 23:33:34,aplikasi nya darah sign klik ga bolak aja,negatif,negatif
Pengguna Google,2024-12-09 21:23:33,jelek ready to find mulu,negatif,negatif
Pengguna Google,2024-12-09 16:57:00,susah log in,negatif,negatif
Pengguna Google,2024-12-09 12:12:50,done well done cari info lowong kerja lamar kerja mudah,positif,positif
Pengguna Google,2024-12-09 11:43:55,jobstreet ya akun logout coba login nggak mohon bantu aplikasi,negatif,negatif
Pengguna Google,2024-12-09 09:45:05,benerin ngapa app nga login lagih,negatif,negatif
