content,score,clean_text,token,stopword_removal,stemming
Nyaman dan tepat the best resposif,5,nyaman dan tepat the best resposif,"['nyaman', 'dan', 'tepat', 'the', 'best', 'resposif']","['nyaman', 'tepat', 'the', 'best', 'resposif']","['nyaman', 'tepat', 'the', 'best', 'resposif']"
"ni gimanasii daritdi mau bikin akun (register) aja gabisa2, tlong lh sistemnya diperbaiki",2,ni gimanasii daritdi mau bikin akun register aja gabisa tlong lh sistemnya diperbaiki,"['ni', 'gimanasii', 'daritdi', 'mau', 'bikin', 'akun', 'register', 'aja', 'gabisa', 'tlong', 'lh', 'sistemnya', 'diperbaiki']","['ni', 'gimanasii', 'daritdi', 'mau', 'bikin', 'akun', 'register', 'aja', 'gabisa', 'tlong', 'lh', 'sistemnya', 'diperbaiki']","['ni', 'gimanasii', 'daritdi', 'mau', 'bikin', 'akun', 'register', 'aja', 'gabisa', 'tlong', 'lh', 'sistem', 'baik']"
Gak bisa masuk,2,gak bisa masuk,"['gak', 'bisa', 'masuk']","['gak', 'masuk']","['gak', 'masuk']"
saya mau posting thread tidak bisa terposting,3,saya mau posting thread tidak bisa terposting,"['saya', 'mau', 'posting', 'thread', 'tidak', 'bisa', 'terposting']","['mau', 'posting', 'thread', 'terposting']","['mau', 'posting', 'thread', 'terposting']"
Maaf saya tidak bisa buka jobstreet setiap saya register atau masuk ga bisa dan tidak kebuka,1,maaf saya tidak bisa buka jobstreet setiap saya register atau masuk ga bisa dan tidak kebuka,"['maaf', 'saya', 'tidak', 'bisa', 'buka', 'jobstreet', 'setiap', 'saya', 'register', 'atau', 'masuk', 'ga', 'bisa', 'dan', 'tidak', 'kebuka']","['maaf', 'buka', 'jobstreet', 'register', 'masuk', 'ga', 'kebuka']","['maaf', 'buka', 'jobstreet', 'register', 'masuk', 'ga', 'buka']"
good,5,good,['good'],['good'],['good']
Real,5,real,['real'],['real'],['real']
Minta tolong ku gak enak numpang terus ke orang tua dihina dimaki capek mohon nih aplikasi bantuin gw loker haram juga gua jalanin,1,minta tolong ku gak enak numpang terus ke orang tua dihina dimaki capek mohon nih aplikasi bantuin gw loker haram juga gua jalanin,"['minta', 'tolong', 'ku', 'gak', 'enak', 'numpang', 'terus', 'ke', 'orang', 'tua', 'dihina', 'dimaki', 'capek', 'mohon', 'nih', 'aplikasi', 'bantuin', 'gw', 'loker', 'haram', 'juga', 'gua', 'jalanin']","['minta', 'ku', 'gak', 'enak', 'numpang', 'terus', 'orang', 'tua', 'dihina', 'dimaki', 'capek', 'mohon', 'nih', 'aplikasi', 'bantuin', 'gw', 'loker', 'haram', 'gua', 'jalanin']","['minta', 'ku', 'gak', 'enak', 'numpang', 'terus', 'orang', 'tua', 'hina', 'maki', 'capek', 'mohon', 'nih', 'aplikasi', 'bantuin', 'gw', 'loker', 'haram', 'gua', 'jalanin']"
Sangat bagus,5,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']"
Cara mudah untuk mencari lowongan kerja dan langsung dapat melamar,5,cara mudah untuk mencari lowongan kerja dan langsung dapat melamar,"['cara', 'mudah', 'untuk', 'mencari', 'lowongan', 'kerja', 'dan', 'langsung', 'dapat', 'melamar']","['cara', 'mudah', 'mencari', 'lowongan', 'kerja', 'langsung', 'melamar']","['cara', 'mudah', 'cari', 'lowong', 'kerja', 'langsung', 'lamar']"
