content,score
Nyaman dan tepat the best resposif,5
"ni gimanasii daritdi mau bikin akun (register) aja gabisa2, tlong lh sistemnya diperbaiki",2
Gak bisa masuk,2
saya mau posting thread tidak bisa terposting,3
Maaf saya tidak bisa buka jobstreet setiap saya register atau masuk ga bisa dan tidak kebuka,1
good,5
Real,5
Minta tolong ku gak enak numpang terus ke orang tua dihina dimaki capek mohon nih aplikasi bantuin gw loker haram juga gua jalanin,1
Sangat bagus,5
Cara mudah untuk mencari lowongan kerja dan langsung dapat melamar,5
Seumur umur pake aplikasi ini belum pernah dapet kerjaan jangan kerjaan dipanggil aja kagak!!,2
Suka,5
Bismillah semoga dapet kerja,5
"Sbenernya bagus cuma saran ku lebh di filter buat loker nya, banyak banget perusahaan bodong yang nawarin loker tapi palsu",1
Bagus memberi info,5
Harusnya loker²penipuwan itu jangan di masukan juga masa iya sekelas jobstreet tida bisa membajak akun²penipu,2
Semoga cepat dapat kerja,5
Sulit,1
"Apk taik banyak loker palsu, loker penipuan, loker ga jelas loker formalitas aja disini banyak loker fiktif",1
Cuma PHP doang,1
Bagus,5
Sangat membantu loker nasional,5
"Pihak yg ngadain event seminar ga ada kelanjutannya soal reward berupa e-wallet, yg katanya harus tunggu sampai h+14 sampe sekarang h+21.. Hahahaha ga amanah yaa",1
"Ga dapet"" kerjaan dari sini",1
Gabisa login loading mulu,1
versi ini lagi banyak bug. gk bisa akses semua menu kecuali home.,1
Makin kesini makin buruk soalnya bnyk loker palsu/bodong,2
"Lowongan expayed, nglamar tak ada pernah ada panggilan apapun",1
Aplikasi yang sangat bermanfaat.,5
Saya sangat senang menggunakan aplikasi ini karena mudah mendapatkan informasi lowongan kerja terbaru dengan mudah,5
saya hanya lulusan sma sederajat pingin masuk kerja di avian apakah bisa dengan hanya pengalaman marketing dan spv,5
Good luck,5
"Apk sdh diupdate 2hari ini tidak bisa login, kenapa Min?",1
"Ga jelas ,dari dulu Ampe sekarang ga pernah nyangkut ga pernah ada panggilan kerja ,giliran pake aplikasi sebelah baru beneran ada loker ada panggilan",1
"Aplikasi samaph banyak penipu mengatasnamakan perusahan, juga banyk perusahaan fiktif. Developer tomlol cari untung doang, benerin soal persyaratan pembuatan akun juga postingan² info loker nya. Kya gini sya juga bisa jdi HRD modal bayar buat iklhan mengatasnamakan perusahan fiktif.",1
Di perbarui ga bisa log in,3
mmqntap,5
"Loker banyak yang hoax panggilan ruko"" terus kalo dapet",1
sangat informatif..semoga ada lamaran nyantol..,5
Pengalaman kerja di bidang marketing penjualan dan pemasaran juga bagian promosi.,5
"Pada enggak jelas semua,masih banyak calo",1
"Bukannya dapat pekerjaan malah data saya yg tersebar terutama whatsapp, tiba² ditawarin kerja padahal saya tidak apply di perusahaan tsb. Setelah saya cek ternyata perusahaan palsu/penipu",2
"Pendidikan saya saat ini S CINGCAU dan menuju S DAWET,berkat aplikasi ini saya dengan mudah mendapatkan pekerjaan yang sesuai dengan keinginan saya. Terimakasih Jobstreet!",1
bekerja selama 10 tahun dikebun kakao bekerja selama 15 tahun dikebun kelapa sawit sbg asisten tanaman,5
Ok,5
Terlalu banyak penipuan lowongan di apk ini,2
Aplikasi kontil Ngelamar bolak balik gk ada update progressnya Gk pernah dipanggil sekalipun,1
wadah yang baik untuk pencari kerja. Semoga kedepan lebih baik lagi aplikasinya dalam penyediaan tenaga kerja,5
Bagus apk e tapi yaa sulit banget sekarang cari kerja Yaa Allah tolonglah hambamu inii,5
Lokasi pekerjaan tdk sesuai,1
Perna jadi helper welder,5
"Saya mendaftar di perusahaan yg ada di apk ini. Tp setiap ada panggilan tes, selalu perusahaan bodong. Jadi bagaimana ini? Data diri saya sudah saya cantumkan di apk ini malah jadi tersebar ke perusahaan yg tidak jelas!!",1
Aplikasi yang qualified sangat membantu kami dalam mencari kerja.,5
Banyak loker yang palsu dengan beberapa perusahaan di satu alamat yang sama tolong di filter lagi untuk perusahaan yang mau daftar di jobstreet ini untuk developer tolong di lanjuti lagi kasus ini.,1
"Tolong diblokir yg Pemberi pekerjaan yg kantornya di ruko jl Saharjo orang mau cari kerja ya cari duit bukan dimintain duit sama perusahaan bodong yg lainnya jg yg mintain biaya admin, ini itu dll dah",1
"Sangat membantu sekali, pekerjaan pertama saya.. saya dapatkan dari sini. Terimakasih",5
Mantap,5
Sangat membantu,5
Sangat membantu dlm proses mencari pekerjaan,4
Masih banyak perusahaan bodong yg bisa posting loker d aplikasi ini.. Aplikasi ga ada guna,1
Sangat Flexibel,5
"Nomor hape pengguna bocor, 2x dapat penipu mengundang interview Sebelumnya saya 3x dapat pekerjaan dari jobstreet, tp kali ini nomor HP bocor ke penipu",3
tiati ngelamar di jobstreet banyak penipuan yg cuma ngambil data diri pelamar.,1
"Bagaimana bisa data yg saya kirim bocor dan sering ada yang mengirim pesan yang menawarkan pekerjaan yang berujung penipuan, dikatakan dapat informasi dari database jobstreet",1
Bagus,5
Good,5
Semoga dapat pekerjaan di sini,5
"Cukup Kecewa Karena Lowongan yang disediakan hanya untuk Orang yang memiliki Tamatan Sarjana dan Diploma. Saya sebagai Tamatan SMK, merasa sering kali kesulitan mencari Loker disini karena semua S&K berisi Minimal S1, apakah Kami yang Tamatan SMA/SMK tidak Layak Bekerja diPerusahaan. Semoga Aplikasi ini Bisa bersikap Terbuka untuk Semua Kalangan. Karena yang ingin bekerja bukan hanya yang Sarjana.",2
Sangat membantu,5
Jobstreet sangat membantu dalam pencarian informasi lowongan kerja,5
Sangat membantu,5
Ok,5
Sangat berguna dan meembantu para pencari job mohon untuk di tingkatkan,5
