content,score
"Lucu asli, kalo buka realtime trx harganya Rp.2515 sedangkan mode pro reku harga per trx Rp.2525. lu transaksi sebagai pembeli bisa jual diharga mode pronya. Tapi giliran transaksi jual harus mode lightning. Apa ngga sedih sama exchange lokal wkwk",1
"aplikasi REKU adalah dompet yang sama juga mutu nya dengan Dompet kartu Bank yang ada di Indonesia. selain terpercaya, juga REKU mudah untuk melakukan transaksi perbankan.",5
ok,5
"tambah mahal,, jarak jual dan belinya terlalu gede.,, masa iya skali beli kepotong 10%, 30%",3
"Aplikasi ini bagus untuk berdagang kripto, tampilan juga mudah di pahami tidak ribet, pakai ini saat mau daftar ❣️ nakama ❣️ sangat kompetitif untuk perdagangan yang efisien tanpa biaya yang besar, permintaan topup dan penarikan diproses dengan cepat, ini merupakan nilai tambah yang sangat besar, di tambah pelayanan cs sangat cepat respon, reku salah satu platform andalan, sangat rekomendasi untuk pemakaian. 👍",5
baru mau coba muda mudahan apk nya bagus,5
udh Joss pokoknya,5
"Exchange lokal paling mantap, admin ga ribe terus varian Bank bnyak",5
Sekuritas paraah mines 5 persen abis itu naik 9 persen harusnya udah profit 4 persen ini malah masih mines 4 persen kocak giliran turun aja grecep saldo ngurang nyaa gliran naik di sekuritas lain naik disini malah mines ajaa kocakkk,1
Kirim crypto lama..bgt... Fee juga terlalu mahal... jauh diatas rata² fee market.. market fee 5k.. di sini hmpir 10k.. 2x lipat.. bhkan ada yg 5x lipat.. contoh TRX.. rata² fee market send 1 TRX - 2 TRX .. di sini 5 TRX !! Fee trade crypto juga mahal bgt.. Pantes volume trade kecil..!! Gk ada yg minat trade crypto di sini. Rata² ke saham.,2
reku sangat cocok untuk digunakan dalam aplikasi perdagangan kripto menurut saya aplikasi reku sangat mudah untuk digunakan dan mudah untuk di pelajari,5
good,5
RIBET DAN TIDAK JELASS 👎👎,1
good,5
"Saya cukup lama menggunakan Reku ini,dimana kita bisa tahu profit atau tidak,tapi semenjak versi terbaru ini yg sudah memasukkan saham disamping crypto,menu favorit crypto tidak bisa disimpan. Hal ini terjadi sewaktu kita matikan hp atau logout dimenu favorit tetap hanya 3 crypto padahal kita sdh tambah jadi 10 crypto dengan cara geser kekanan",5
Baik,4
Ok om 👍,5
"Saya menggunakan aplikasi ini isilah 💕💕b a r o k a h 💕💕 ketika daftar biar akunmu aktif, atas rekomendasi seorang teman, seluruh antarmukanya sangat jelas dan lancar, dan fungsi perdagangannya juga sangat lengkap, memiliki variasi perdagangan yang kaya, analisis perubahan harga perdagangan internasional, dan akun demo gratis semuanya Saya sangat menyukainya, tetapi fitur favorit saya adalah kelancaran seluruh transaksi, sehingga saya tidak perlu khawatir akan kelambatan selama transaksi😘.",4
"Buset dehhh.... Beli cuma 10rb,, jadi koin seharga 8rb.. Fee jual beli ga ngotak... Gimna klo beli jutaan... Ilangnya segunung... Contoh indodax.. Fee minim bgt",1
"Tampilan UI yg simple dan ga ribet dan jangan lupa isilah ..b, a, r, o, k, a, h.. Refvpral ini ketika awal daftar ya,, biar akunmu aktif ya, jadi mudah digunakan, bahkan untuk pemula sekali pun! Keamanan datanya juga oke, pilihan koinnya yg banyak serta biaya fee yg rendah, terus juga sama bonus-bonus dari event yg diadakin sama rekeningku! Ini appnya pokoknya bagus and recomend banget!! #KriptoAmanDiReku",4
awesome,5
Semoga bisa lebih baik lagi,5
"Reku memiki jaringan yang tidak benar! Saya menarik LTC dari bybit ke reku. Di bybit sudah dikonfirmasi sukses, tapi saat saya cek di Reku LTC tidak masuk sama sekali, padahal alamat wallet dan jaringan yang saya salin 100% benar👎",2
mudah di gunakan sebagai pemula,4
Ribet,1
"Mode Lite di bikin bisa limit order dong min, biar makin jossss",3
Sayang tidak suport lightining. Yg saya maksut trima kripto dengan mode lightining,1
"20240929 Belum ada preferensi saham AS syariah, tidak seperti Go Trade Indonesia",1
"Kirim koin kesini dari wallet malah lenyap gara"" gak masukin memo ID padahal alamat dah bener",1
"pilihan aset makin banyak, fitur juga makin lengkap. top deh 🚀 🌔",5
menghibur dan bisa mendapatkan cuan,5
TOP UP E MALAH BANK SAMPOERNA,1
"Tampilan UI yg simple dan ga ribet dan jangan lupa isilah b, a, r, o, k, a, h ini ketika awal daftar ya,, biar akunmu aktif ya, jadi mudah digunakan, bahkan untuk pemula sekali pun! Keamanan datanya juga oke, pilihan koinnya yg banyak serta biaya fee yg rendah, terus juga sama bonus-bonus dari event yg diadakin sama rekeningku! Ini appnya pokoknya bagus and recomend banget!! #KriptoAmanDiReku",3
Fee trading mahal...,1
baik,5
bagus,5
Sayangnya gak bisa pake keamanan google autentikasi,5
OK,5
giliran koin micin udah harga tinggi baru di tambahin ke list market. Kocak,1
Well,4
good,5
"JANGAN PAKE REKU,BANYAK NIPU NYA",1
aplikasi sangat membantu 👌,5
"Udah UPDATE JADI LEMOOOT, KAYA KEONG,KURA²,LOADING, PENTIUM 1,",1
aplikasi yg sangat bagus untuk menyimpan crypto,5
Cukup memuaskan 👍,5
ok,5
So far..so good.Thanks🙏,5
belum dapet keuntungan sih dari apk ini😭,2
Saya sebagai pengguna aktif reku sangat senang dengan aplikasi ini terutama dari fee yang tidak terlalu mahal dan minimal depo yang cukup terjangkau sangat membantu saya sebagai pemula yang coba2. Kalau bisa tambahkan investasi Emas,5
"Wahhh menyala reku. Akhirnya penantian yg lama ditunggu² ini inovasi yg luar biasa, apalagi bagi pemula yg berkeinginan utk belajar mengasah skill dalam investment. Makasih ya buat CEO -Co Founder dan tim support sukses selalu. Harapan kedepannya ya semoga ada project seperti mainnet dari reku nya, kayak yg lainnya gitu heheheee",5
Seharusnya saya tidak memilih apk ini saya sungguh kecewa,1
"lumayan dikit"" belajar nabung crypto, yg blm punya ref nih @restusukmara terimakasih",5
2 di dalam aplikasinya ada kendala pas mau minta bantuan sama admin tidak bisa chat admin tertutup,3
sangat bagus,5
Reku tolong update supaya bisa Terima dogs coin,5
Ini kek app sebelah gak yah ? Banyak potongan tersembunyi?,4
"invest...aman... penarikan dan depo,...lancar .tidak kena hack,...untuk saat ini... sukses slalu Reku...👍👍👍",5
"Karena kadang suka gak bisa login/nge blank, maaf dikurangin🙏🙏🙏 @hildan14",3
ini baru mantap 👍,5
muhammad rizki nurfaroz,5
Min. di menu favorit shortby nya belum ada.,5
"Bagus,ui sederhana mudah dipahami oleh pemula.....saran mohon tambahkan fitur switch antar token cripto jd tidak perlu jual ke idr dulu",4
"Dari awal bikin akun mpe saat ini(selama postingan ga dihapus )..Saya gak pernah kasi ijin/kuasa ke siapa pun ,Akun ini dibuat ya buat saya sendiri",3
Gokil next tambahin Reksadana dan emas min,5
"sudah mantap, dan tolong jangan terlalu banyak mengambil keuntungan dalam fee jual beli pengguna Reku",5
Sangat membantu bagi yang menggunakan,5
baik,5
"Overall appnya bagus ya Smua lancar Cs jg cpt responnya,feenya standart sesuai dgn app yg mudah dimengerti pemula, Sayangnya tampilan setelah update jadi kurang bagus sebelum ad update Saham As tampilan wallet kita keren bgt dan setelah update jadi kaku bgt tampilannya ga smooth spt dulu. Tapi tampilannya msh lebih baik dibanding apk lain. Saran saya kembalikan sj model ke tampilan lama lebih unik utk reku.",5
Aplikasi yang sangat bagus. Mudah dan adminya fas respon,5
Jaringan ton knpa tidak bisa digunakan Sya sudah bli mau kitim tidak bisa,3
ribet amat mau ganti nomor aja,1
bagus,5
Aplikasi platform untuk kripto terbaik dan keren serta Fungsional 😊👍👍👍,5
"Aplikasi nya mantap, mudah ,dan jelas aman. Semoga terus berkembang lagi😁",5
REKU JAYAA🔥,5
Bravo Reku.. Semoga lebih banyak fitur menarik dan ramah di koneksi..,5
"kalo emang cm bs 2 alamat wallet, alamat lain gausah dimasukin alasanya cm mendukung trc sm erc tapi alamat wallet dimasukin dikoin, emang mau menjebak orang biar salah, saran gw gausah pake app ini mending binance atau aplikasi lain yg waras, bukti transaksi semua ada gw tapi cs bilang duitnya ilang karna alamat walletny yg kekoin langsung gabisa cm erc sama trc, fee juga ga ngotak gede intinya bermasalah",1
Suka,5
baik,5
Kenapa jadi jelek? Masa pasang alarm nya bisa2nya ga bunyi tp ada berita masuk dia bisa bunyi ckck,2
mantap...,5
Live chat nya g kebuka parah enak yg dulu pass respon sekarang agak sulit,3
good,5
bagus,5
cukup baik semoga bisa menaikan per ekonomian bagi pengguna,5
keren,5
good,5
Sangat bagus,5
good aplikasi crypto,5
"Apk ya bagus jual beli pun tanpa harus menunggu dlu,, tetap pertahan kan apk ya salam sukses ✨✨",5
ok,5
ok mantap,5
aplikasi yg bagus.transaksi cepat dan mudah,5
"bagus,simpel,,,,,cuman lemot di banding app lain sejenis ini.",4
"Aplikasinya Mantap, segala fiturnya gampang dipelajarin, biayanya kecil dan kerennya lagi beroperasi 24 jam. The best lah pokone",5
