full_text,tweet_english,klasifikasi
pasti anies punya prestasi,anies must have achievements,Netral
suasana desa memang selalu menyenantidakan udara segar rimbun tumbuh hijau sungai jin penuh ikanikan kecil besar tarik angin dieng gaco adidas semalem bukan ordal anies,village atmosphere is always fun lush fresh air growing green jin river full of small fish big wind pull dieng gaco adidas semalem not ordal anies,Positif
program anies hanya ubah nama rumah sakit se indonesia wkwk juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,anies program only change the name of the hospital in Indonesia wkwk juntidakook is coming olivia gaco daesang bangtan debut karina wonbin batter up 100m views,Netral
anies bohong nipu rasa salah,anies lie nipu rasa salah,Netral
bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
alesan jelas pak anies jelas jelas jelas nyamasih engga pahamdungu arti,alesan clear sir anies clear clear clear nyamasih don't understand dungu meaning,Positif
wow mantap sekali ini arti saudara anies jadi presiden ri,wow great this is the meaning of brother anies so president ri,Positif
dulu belsajar msajas kelas 8 samapsaya paham apa bilang pak anies kalau ga paham muntidakin kenyam kelas 8,first time belsajar msajas 8th grade samapsaya understand what to say sir anies if you don't understand muntidakin kenyam 8th grade,Positif
kasi kiki padahal fakta memang si anies jago kata kata ssaja tarik simpati padahal implementasi jamin nol cth waktu jd tri gubernur kerja nya standar banget,kasi kiki even though the fact is that si anies jago kata ssaja pulls sympathy even though the implementation of guarantee is zero eg jd tri time the governor's work is very standard,Netral
anak anies cakep bener anak capres muka ga tengil,anak anies cakep bener anak capres muka ga tengil,Netral
partai dukung pak anies tidak tahan jadi oposaudariinasdem pkb tuh msh yang jabat tri imin msh jabat wakil ketua dprri nampaknya betah banget kekuasaanmundur dong,the party supporting Pak Anies can't stand being oposaudariinasdem pkb tuh msh yang dabat tri imin msh dabat vice-chairman of DPRRI seems to be at home with the power to retreat dong,Positif
lah juga dulu dukung lebih liberal anies itu lebih anti jokowipdip sejak kasus ahok,well also used to support more liberal anies it's more anti jokowipdip since ahok case,Positif
asli rada hoream euy ceunah bebas dapat sugan teh geus balik deui jadi anies era nurcholis madjid memorial lecture,original rada hoream euy ceunah free can sugan teh geus balik deui so anies era nurcholis madjid memorial lecture,Positif
bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
yang bilang anies modal kata doang pacar eco park tebet musuhin,who said anies modal kata doang boyfriend eco park tebet musuhin,Netral
sayang banyak msh dukung anies dateng mas baru di lampung kemaren berani banget ya juga kayak bilang takut sih kalau hadepan lagisg buat desak anies wkwk,dear many MSH support anies dateng mas baru di lampung kemaren bravely ya also like to say scared if hadepan lagisg to urge anies wkwk,Positif
anies pks,anies pks,Netral
gerindaria bantah soal anies bilang bisnis macet gegara jadi oposaudarii,gerindaria argues about anies saying that the business is stuck in the country so oposaudarii,Netral
anies ikut kubur harun tahun 2019 berita apakah kata hoax padahal beliau ikut kubur,anies participates in harun's grave in 2019 what news is the word hoax even though he participates in the grave,Netral
anies baswedan jawab tanya debat bukti nyata kerja sangat muas,anies baswedan answered the debate the real proof of work is very sick,Negatif
anies tuh cerdas utama soal janji transportasi jaklintidako mau rekrut pak iganisus pilih sudah banyak tadi nya kurang bijak bawa ulama gimana kalau pendetapastorpemimpin agama juga pertimbantidakan opini nya kenapa hanya cuman ulama,anies is the main intelligent about the promise of transportation jaklintidako want to recruit Mr. iganisus choose already a lot earlier it is not wise to bring scholars what if the detachment of religious leaders also consider their opinions why only scholars,Positif
karakter wowo vs anies jauh lah bangmbok legowo sajaanies simpati publik luas sedang wowo sebaliknyasesederhana dipahaminyajugan kita jd parasocial relationship disorder,character wowo vs anies away is bangmbok legowo sajaanies the sympathy of the wider public is wowo behind itsimply understoodjugan we also parasocial relationship disorder,Negatif
kalau ga kerja bidang nya jago nyindir orang anies,if you don't work in the field you are good at insinuating people anies,Positif
paragraf satu udah dijelasin sama pa anies sendiri tonton geh video biar paham konteks ape2 ditelen mentah2 paragraf dua nama pamrih kata paling ikhlas ko diuntidakit ko nyapres paragraf tiga etika kata saudara awokwokwok mending ngaca dulu dah,paragraph one has been explained the same pa anies himself watch geh video so that he understands the context of ape2 telen raw2 paragraph two names of the most sincere words ko stalked ko nyapres paragraph three ethics word brother awokwokwok mending ngaca first,Positif
bicara sesuai fakta anies lantang sebut lampung punya alat pantau polusi udara gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,speak according to the facts anies loudly say Lampung has a monitoring tool for air pollution gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
sindir anies baswedan apbd paling besar kok mas anies gagal pimpin jakarta gaco anies gempa daesang selamat pagi batter up 100m views pilih baik,sarcasm anies baswedan apbd biggest kok mas anies fail pimpin jakarta gaco anies earthquake daesang good morning batter up 100m views choose well,Positif
itu anak anies emang cantik banget senyum,that's really pretty anies kid smiling,Positif
anies selalu komitmen wujud ubah positif baik masayaarakatnya negara,anies is always committed to changing the positive form of both the people of the country,Positif
menang anies gub dki klaim penuh gerindaria baik dukung modal logistik sungguh sombong menghilantidakan jasa2 partai2 relawan2 rakyat dki pilagiub dki lebih jasa,win anies gub dki claim full of good gerindaria support capital logistics really arrogant demolish the services of the people's volunteer parties dki pilagiub dki more services,Positif
lama masa jabat gubernur anies pimpin bagai proyek bangun sejahtera rakyat,the long term of the governor anies lead like a project to build prosperous people,Negatif
anies baswedan mengsajak warga tunjuk kuat bangsa semangat juang,anies baswedan invites residents to show strong national fighting spirit,Positif
pikir anies debat perdana sedikit mampu cipta ubah positif masayaarakat,thought anies the first debate was a little able to create positive changes in the community,Positif
anies antidakat alis adad pernah ada guna fakedeep aidasar buzzer polri suka buat fitnah,anies antidakat alis adad never existed for fakedeep aidasar buzzer polri likes to make slander,Netral
2019 anies jd gubernur ikut pilpres ada 2024 anies calon nasdem apa salah nasdem jeli negara butuh sosok anies rakyat ubah adil sosial seluruh rakyat indonesia,2019 anies jd governor took part in the presidential election there is 2024 anies nasdem candidate what is wrong nasdem jelly the state needs the figure of anies people change the social justice of all Indonesian people,Negatif
bagai inisiatif mengembantidakan jakarta anies jadi contoh nyata banyak orang,like an initiative to implant Jakarta anies so a real example of many people,Positif
ordal anies profesional integritas,ordal anies professional integrity,Positif
anies baswedan muhaimin iskandar dong indonesia lebih baik,anies baswedan muhaimin iskandar dong indonesia better,Positif
debat banyak buah pikir anies pada akhir memang benarbenar manfaat cerdas warga negara,debate many pieces of thinking anies at the end is really the benefits of smart citizens,Positif
udah rahasia umum lah ga usah tutup bagaimana anies menikamuati politik identitas dia betulbetul ambil untung,"already an open secret, don't you need to close how anies marries his identity politics is really taking advantage",Negatif
anies baswedan tuding capres banyak janji timnas amin janji ukur,"anies baswedan pointed the finger at the presidential candidate, many promises from the national team, amen promise to measure",Positif
org cerdas paham apa sampai pak anies klo otak cetek males mikir nilai njelimet,smart people understand what to pack anies clo shallow brain males think the value of njelimet,Negatif
