,rr,tt_air_avg,rh_avg,pp_air
0,121.6,25.65,82.1,1011.684
1,0.0,25.38,84.9,1012.088
2,0.4,24.8,89.2,1012.373
3,1.4,24.21,92.8,1012.494
4,4.0,24.06,94.8,1012.791
5,4.2,23.94,95.9,1012.758
6,4.6,24.08,94.6,1012.837
7,4.8,24.16,94.6,1012.811
8,5.2,24.24,94.4,1012.671
9,5.2,24.35,94.2,1012.47
10,5.2,24.81,92.2,1012.321
11,5.2,25.53,89.7,1012.132
12,5.2,25.99,87.6,1012.014
13,5.2,26.75,84.7,1012.074
14,5.2,26.86,82.3,1012.093
15,5.4,27.3,80.5,1011.989
16,5.4,27.7,79.42,1011.832
17,5.4,27.95,79.36,1011.838
18,5.4,27.83,79.09,1011.912
19,5.4,27.72,79.38,1011.888
20,5.4,27.84,78.46,1011.771
21,5.4,28.01,78.65,1011.645
22,5.4,28.22,77.61,1011.52
23,5.4,28.26,77.59,1011.334
24,5.4,28.92,73.42,1011.22
25,5.4,28.65,72.51,1011.21
26,5.4,28.86,72.26,1010.97
27,5.4,29.04,71.95,1010.653
28,5.4,29.19,71.6,1010.489
29,5.4,29.08,70.86,1010.338
30,5.4,29.37,69.44,1010.036
31,5.4,29.43,70.05,1009.886
32,5.4,29.16,72.0,1009.796
33,5.4,29.08,72.41,1009.582
34,5.4,29.2,72.4,1009.345
35,5.4,29.13,72.67,1009.139
36,5.4,29.06,73.51,1008.92
37,5.4,29.01,73.17,1008.738
38,5.4,28.77,73.56,1008.591
39,5.4,28.84,73.64,1008.392
40,5.4,28.6,75.23,1008.288
41,5.4,28.65,75.07,1008.285
42,5.4,28.86,74.43,1008.189
43,5.4,28.81,76.66,1008.148
44,5.4,28.75,76.21,1007.971
45,5.4,28.68,74.4,1007.909
46,5.4,28.74,72.37,1007.783
47,5.4,28.46,73.18,1007.722
48,5.4,28.44,73.86,1007.668
49,5.4,28.75,73.96,1007.648
50,5.4,28.52,74.91,1007.702
51,5.4,28.4,75.58,1007.688
52,5.4,28.34,76.15,1007.626
53,5.4,28.18,77.53,1007.669
54,5.4,28.21,77.68,1007.822
55,5.4,28.19,77.85,1007.919
56,5.4,28.01,77.88,1007.907
57,5.4,28.07,77.16,1008.034
58,5.4,28.0,76.85,1008.18
59,5.4,27.95,76.29,1008.333
60,5.4,27.87,76.61,1008.506
61,5.4,27.72,77.64,1008.728
62,5.4,27.62,77.55,1008.732
63,5.4,27.57,76.53,1008.876
64,5.4,27.43,77.46,1009.048
65,5.4,27.32,77.85,1009.212
66,5.4,27.25,78.27,1009.304
67,5.4,27.09,79.18,1009.349
68,5.4,27.09,79.36,1009.515
69,5.4,27.09,79.33,1009.647
70,5.4,27.03,79.83,1009.833
71,5.4,26.99,79.95,1009.954
72,5.4,26.93,80.4,1010.043
73,5.4,26.87,81.2,1010.171
74,5.4,26.88,81.3,1010.249
75,5.4,26.85,81.7,1010.291
76,5.4,26.88,81.6,1010.516
77,5.4,26.72,82.8,1010.74
78,5.4,26.7,83.0,1010.962
79,5.4,26.64,83.3,1011.109
80,5.4,26.66,83.1,1011.08
81,5.4,26.62,83.4,1011.214
82,5.4,26.51,83.9,1011.209
83,5.4,26.49,84.0,1011.226
84,5.4,26.49,84.0,1011.209
85,5.4,26.44,84.2,1011.196
86,5.4,26.46,83.8,1011.08
87,5.4,26.41,83.9,1010.999
88,5.4,26.33,84.1,1010.931
89,5.4,26.19,84.9,1010.831
90,5.4,26.05,85.6,1010.794
91,5.4,25.87,87.8,1010.887
92,5.4,25.55,88.6,1010.909
93,5.4,25.77,87.2,1010.753
94,5.4,25.77,86.8,1010.516
95,5.4,25.76,87.2,1010.433
96,5.4,25.74,87.6,1010.402
97,5.4,25.73,88.0,1010.241
98,5.4,25.66,88.1,1010.129
99,5.4,25.67,88.3,1010.051
100,5.4,25.57,88.9,1010.064
101,5.4,25.55,88.9,1009.794
102,5.4,25.66,89.4,1009.675
103,5.4,25.58,90.2,1009.605
104,5.4,25.48,90.3,1009.47
105,5.4,25.54,89.4,1009.349
106,5.4,25.62,87.9,1009.224
107,5.4,25.63,87.6,1009.058
108,5.4,25.56,87.4,1008.921
109,5.4,25.61,86.7,1008.874
110,5.4,25.73,85.7,1008.863
111,5.4,25.7,85.6,1008.762
112,5.4,25.73,85.1,1008.643
113,5.4,25.8,84.6,1008.559
114,5.4,25.86,84.3,1008.508
115,5.4,25.83,84.9,1008.41
116,5.4,25.71,85.7,1008.272
117,5.4,25.85,85.3,1008.297
118,5.4,25.99,84.8,1008.431
119,5.4,26.07,84.6,1008.488
120,5.4,26.19,83.9,1008.622
121,5.4,26.22,83.8,1008.656
122,5.4,26.2,83.9,1008.627
123,5.4,26.04,84.8,1008.703
124,5.4,25.96,85.2,1008.722
125,5.4,25.84,85.6,1008.605
126,5.4,25.7,86.2,1008.613
127,5.4,25.68,86.0,1008.746
128,5.4,25.7,85.5,1008.832
129,5.4,25.64,85.6,1008.921
130,5.4,25.75,84.2,1009.047
131,5.4,25.77,83.6,1009.224
132,5.4,25.71,83.4,1009.345
133,5.4,25.69,82.6,1009.502
134,5.4,25.82,81.0,1009.623
135,5.4,25.94,80.0,1009.649
136,5.4,25.95,79.61,1009.765
137,5.4,26.1,78.4,1009.877
138,5.4,26.24,77.49,1009.988
139,5.4,26.47,76.1,1010.062
140,5.4,26.69,75.17,1010.054
141,5.4,26.88,74.41,1010.164
142,5.4,27.03,74.15,1010.386
143,5.4,27.09,74.41,1010.474
