ID Stasiun,Nama Stasiun,Lattitude,Longitude,Tanggal,rr,tt_air_avg,rh_avg,pp_air
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 00:00:00+00,121.6,25.65,82.1,1011.684
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 00:10:00+00,0,25.38,84.9,1012.088
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 00:20:00+00,0.4,24.8,89.2,1012.373
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 00:30:00+00,1.4,24.21,92.8,1012.494
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 00:40:00+00,4,24.06,94.8,1012.791
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 00:50:00+00,4.2,23.94,95.9,1012.758
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 01:00:00+00,4.6,24.08,94.6,1012.837
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 01:10:00+00,4.8,24.16,94.6,1012.811
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 01:20:00+00,5.2,24.24,94.4,1012.671
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 01:30:00+00,5.2,24.35,94.2,1012.47
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 01:40:00+00,5.2,24.81,92.2,1012.321
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 01:50:00+00,5.2,25.53,89.7,1012.132
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 02:00:00+00,5.2,25.99,87.6,1012.014
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 02:10:00+00,5.2,26.75,84.7,1012.074
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 02:20:00+00,5.2,26.86,82.3,1012.093
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 02:30:00+00,5.4,27.3,80.5,1011.989
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 02:40:00+00,5.4,27.7,79.42,1011.832
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 02:50:00+00,5.4,27.95,79.36,1011.838
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 03:00:00+00,5.4,27.83,79.09,1011.912
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 03:10:00+00,5.4,27.72,79.38,1011.888
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 03:20:00+00,5.4,27.84,78.46,1011.771
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 03:30:00+00,5.4,28.01,78.65,1011.645
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 03:40:00+00,5.4,28.22,77.61,1011.52
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 03:50:00+00,5.4,28.26,77.59,1011.334
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 04:00:00+00,5.4,28.92,73.42,1011.22
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 04:10:00+00,5.4,28.65,72.51,1011.21
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 04:20:00+00,5.4,28.86,72.26,1010.97
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 04:30:00+00,5.4,29.04,71.95,1010.653
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 04:40:00+00,5.4,29.19,71.6,1010.489
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 04:50:00+00,5.4,29.08,70.86,1010.338
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 05:00:00+00,5.4,29.37,69.44,1010.036
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 05:10:00+00,5.4,29.43,70.05,1009.886
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 05:20:00+00,5.4,29.16,72,1009.796
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 05:30:00+00,5.4,29.08,72.41,1009.582
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 05:40:00+00,5.4,29.2,72.4,1009.345
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 05:50:00+00,5.4,29.13,72.67,1009.139
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 06:00:00+00,5.4,29.06,73.51,1008.92
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 06:10:00+00,5.4,29.01,73.17,1008.738
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 06:20:00+00,5.4,28.77,73.56,1008.591
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 06:30:00+00,5.4,28.84,73.64,1008.392
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 06:40:00+00,5.4,28.6,75.23,1008.288
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 06:50:00+00,5.4,28.65,75.07,1008.285
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 07:00:00+00,5.4,28.86,74.43,1008.189
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 07:10:00+00,5.4,28.81,76.66,1008.148
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 07:20:00+00,5.4,28.75,76.21,1007.971
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 07:30:00+00,5.4,28.68,74.4,1007.909
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 07:40:00+00,5.4,28.74,72.37,1007.783
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 07:50:00+00,5.4,28.46,73.18,1007.722
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 08:00:00+00,5.4,28.44,73.86,1007.668
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 08:10:00+00,5.4,28.75,73.96,1007.648
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 08:20:00+00,5.4,28.52,74.91,1007.702
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 08:30:00+00,5.4,28.4,75.58,1007.688
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 08:40:00+00,5.4,28.34,76.15,1007.626
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 08:50:00+00,5.4,28.18,77.53,1007.669
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 09:00:00+00,5.4,28.21,77.68,1007.822
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 09:10:00+00,5.4,28.19,77.85,1007.919
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 09:20:00+00,5.4,28.01,77.88,1007.907
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 09:30:00+00,5.4,28.07,77.16,1008.034
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 09:40:00+00,5.4,28,76.85,1008.18
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 09:50:00+00,5.4,27.95,76.29,1008.333
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 10:00:00+00,5.4,27.87,76.61,1008.506
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 10:10:00+00,5.4,27.72,77.64,1008.728
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 10:20:00+00,5.4,27.62,77.55,1008.732
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 10:30:00+00,5.4,27.57,76.53,1008.876
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 10:40:00+00,5.4,27.43,77.46,1009.048
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 10:50:00+00,5.4,27.32,77.85,1009.212
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 11:00:00+00,5.4,27.25,78.27,1009.304
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 11:10:00+00,5.4,27.09,79.18,1009.349
STA2220,AWS Staklim Semarang,-6.98488,110.38097,2023-01-01 11:20:00+00,5.4,27.09,79.36,1009.515
