content,score
Tolong perbaiki masalah tidak bisa login ulang. Padahal sudah punya akun. Tapi saat login ga bisa di lanjutkan.,4
Sudah kirim lamaran sebanyak apapun tetap aja tidak ada tanda-tanda panggilan,5
"Susah login, tampilan berubah seperti web, apakah keamanan data terjamin?",1
Aplikasi sering ngebug saat dipakai login,1
"Sebelumnya applikasi ini oke, tapi kok ini jadi lemot banget, mau unggah cv aja ngga bisa2 buttonnya",2
"gajelas gabisa login, daftar baru jg gbsa",1
Saya udah banyak kirim lamaran di berbagai perusahaan belum ada yg respon sama sekali,3
Good,5
Cepat dan update,4
Kenapa tidak bisa login? Apakah ada dicheck oleh pihak IT? Udah banyak yang komplain terus tidak ada perbaikan apa-apa,1
"Tolong dong jobstreet apk nya kenapa logout sendiri,trs pas mau login lg gak bisa.",3
"Bagaimana ya filternya, hari ini tgl 29nov filter utk Bogor satupun tidak ada daerah Bogor, model machine learningnya keliru atau bgmn ya",1
"Aplikasi saya keluar sendiri ,ketika log in lagi , hnya keluar selanjutnya,tapi pas di klik ngk bisa2",1
Tidak bisa login di sy,1
Apk ini Gak rekomended. Mending Glints atau LinkedIn,1
"Kenapa sekarang aplikasinya jelek ya,diupdate bukanya tambah bagus,tp nambah susahin pengguna,udah komplain csnya dan udah saya lakuin,tapi masih utuh belum bisa digunakan,diklik berikutnya juga belom bisa,dan update apk masih utuh belum bisa,udah komplain juga",1
Ini knapa sy login kaga bisa2.. Di klik gbs2,1
AKSES DIBLOKIR : Permintaan Seek tdk mematuhi kebijalan Google. Masih sama hampir sebulan gk bisa masuk gmn nih.. Masuk pake' akun goole gk bisa pake' fb gk bisa. Makin rusak aja nih aplikasi.,2
Aplikasi gak berguna notif doang setiap hari di lamar gak ada respon,1
"Gatau saya kayaknya gapernah download aplikasi ini, kemarin tiba tiba ada yang nawarin job freelance, mengubungi lewat wa,katanya dpt nomer saya dari database dsini. Mana yang WhatsApp saya kaya penipuan tidak masuk akal.",1
"Kenapa saya tidak bisa login di aplikasi, selalu diarahkan ke websitenya",1
"Sekarang tidak bisa masuk di Android. Setelah masukkan email dan password, tersangkut di notif ready to search job. Tidak mau di tekan apa2. Tolong di benahi lagi.",3
"aplikasi ga guna banyak loker bodongnya, ga masuk aka masal mau kerja disuruh bayar.",1
Aplikasi tidak bisa berjalan normal,3
Gak bisa login. Padahal email sama pasword dah benar.,1
Kenapa saya tidak bisa login padahal akun saya sudah ada dan sandinya benar semua tapi saya tidak bisa login..,2
puas,4
"Login issue, bad app",1
tdk bisa log in pakai google walaupun log in manual jg ga bisaaa,1
bagus semua,5
"Aplikasi tidak berguna, tidak bisa login",1
Gak bisa login sdh pakai 3 akun. WHY?,1
ga bisa login... aneh,1
dari pertama kali instal tahun 2022 sampai sekarang boleh dibilang hampir setiap hari daftar loker yang ada disini tapi sama sekali belum pernah ada panggilan sama sekali ! gimana ini jobstreet,1
"After update, problem sign in,..OMG",1
log out sndiri log in susah masuk kirim email gak meyelesaikan masalah,1
"Udah cari kerja gak dapet mulu, ini sekarang akun Jobstreet ke log out sendiri, log in balik malah error. Udah tau saya lagi susah banget dapet kerja, jangan lah makin mempersulit. Ampun dah",1
Ini gmna aplikasi ha jelas udh di dowlod ngk bs di buka,1
"Sudah 2 minggu ini saya tidak bisa masuk akun jobstreet, tolong admin di perbaiki lagi",3
"Good jobs, Sanga membantu dalam mencari pekerjaan.... sangat recommended 😊",5
Tidak bisa masuk akun,2
"Saya daftar akun kenapa ga bisa , 3 jam saya mencoba ga bisa ,",1
"Gimana ya maren pas saya buka pagi eh tiba2 akun keluar sendiri terus pas saya cek belum update, akhirnya saya update terus pas login kaga bisa Ampe udah berapa hari tetep kaga bisa giliran lewab web bisa tapi pas lewat aplikasi ngk bisa, ini gimana ya solusinya dong biar cepet bener seperti semula",3
"Jobstreet nya sampai sekarang apa masih problem ya, soal nya aku mau login sampai sekarang masih susah, ini gimana ya, mana saya lagi cari kerjaan lagi.",4
Electrician,5
Nice,5
"Kenapa mau login tidak bisa, sudah diklik tombol berikutnya, ga ada respon sama sekali dari aplikasinya, terus kalau login pakai akun google malah loading terus ga masuk2",1
Belom ada pencerahan dapat kerjaan,3
Di aplikasi HP kok tau2 logout sendiri dan gk bisa login. Udh di uninstall terus install ulang tapi sama aja,2
Semoga aku mendapatkan pekerjaan lebih mudah ya Allah 🤲 aamiin semoga tidak banyak hoax atau harus keluar biaya dulu setelah itu dibawa kabur uangnya ✌️✌️,5
Oke,5
"Kenapa sy tbtb logout di hp dan ketika login lg ga bisa, loading terus. Udah direset password jg ga bisa masuk",1
tiba2 akun ke log out pas login lagi ga bisa,2
Aplikasi ga bisa di buka parah,1
Heran deh setiap ngelamar kenapa lokernya slalu kadaluarsa? Padahal itu loker baru aja dipost loh!!!! Dan gk 1 atau 2 loker dan itu semua loker yg dilamar 👎👎👎👎,1
"Akun tiba"" Keluar",1
Informasi Lokernya bermanfaat,5
"Knpa ya akun saya GK bisa duka tiba tiba,udah login tetep j GK bisa terbuka,tolong penjelasannya",3
Udah gak bisa digunakan. Signal bagus tetap gak bisa login. Aplikasi bangkrut,1
"sering nipu lewat wa dengan mengatasnama kan jobstreet dan pas di jawab chat nya malah di blok dan suka spam chat, ketika saya kasarin mereka ga senang dengan mengancam saya dan meyebarkan kan nomor hp saya.",1
Kenapa ya kok gk bsa masuk padahal kluar kluar sendiri dari apklikasi .giliran masuk ngk BSA .,1
"Kok jb jadi aneh ya tampilan nya, ga se simple dulu",5
"saya udah 3 hari login kok ga bisa2 sih, tolong dong min dibantu diperbaiki sistemnya",1
"Tidak bisa login padahal udah pernah daftar/bikin akun,mohon pencerahan nya",3
Tolong donk diperbaiki saya login tidak bisa yang awalnya logout sendiri sekarang mau login gak bisa terus hanya ada tulisan berikutnya saja bagaimana ini kendala seperti ini,1
"Woi?, tolong carikan saya lowongan pekerjaan di kantor saja di penempatan batam, lowongan pekerjaan di kantor mana saja, kecuali accounting dan purchasing, gak mau tahu aku, tolong carikan, tanpa pengalaman, dan sallarynya kurang lebih empat digit. Harus bisa. Kalao gak, aku laporkan ke atasan kalian atau ke salah satu instansi pemerintah.Gak Mau Tahu Aku. Pokoknya, Harus Bisa. TITIK, GAK PAKAI KOMA.😡😡😡...",1
Sangat membantu sekali,5
INI MAKSUDNYA GIMANA GAK BISA AKSES SEJAK DI BELI SEEK!!! TEKAN BERIKUTNYA GAK BISAA!!!,1
Tiba-tiba ga bisa masuk entah kenapa 👎😩,1
"Dasar nih aplikasinya Ini aplikasi jobstreet kenapa sih, pas saya login masukkin email dan password trs klik berikutnya malah gak bisa masuk ke akun . Padahal udah klik ""BERIKUTNYA"" terus kok masih tetap gak bisa masuk ke akun saya ya  Tolong diberi solusinya dong, soalnya saya lagi cari loker  Sudah saya email ke cs nya berkali kali pun gak dibalas !!!!!!!!!!!!! Tolong balas email saya dan kasih solusinya",1
"tolong untuk pihak jobstreet lebih di perketat lagi untuk perusahaan yg membuat iklan lowongan pekerjaan, karna saya hari ini tgl 20 November 2024 baru saja melakukan interview, dan di suruh membayar sejumlah 1,4jt dgn alasan untuk pembayaran seragam & psikotest, setelah saya cek ternyata alamat tsb adalah alamat kantor penipuan lowongan kerja. jadi mohon untuk pihak jobstreet lebih selektif lagi untuk keamanannya, agar oknum oknum yg tidak bertanggung jawab tidak se-enaknya memasang iklan. tks",3
"aplikasi gila udah apply 200 lebih, yg nyangkut malah yg nyangkut perusahaan ga jelas yg ujung2nya minta duit",1
Baik,3
Info lowongan makin sedikit saja Udah tidak bisa di harapkan lagi Indonesia lagi tidak baik baik saja,1
Aplikasi apa ini gak bisa login banyak kali permintaan nya,1
"Aplikasi keluar sendiri, dan pada saat mau masuk stuck atau freeze, mau buat akun baru juga gak bisa.",2
"Apalah cobak ,tiba2 akun ku keluar sendiri .pas mau login tidak bisaaa",1
Kenapa beberapa hari ini Jobstreet tidak bisa login di hp ??? Sudah masukan Password berkali-kali setiap hari tetap tidak bisa kebuka,2
"Jobstreet kenapa ya sudah 2 hari gabisa login melalui apknya padahal sinyal bagus, bisanya login melalui web itu kenapa yaaa",1
"Hati2 kln smua yg mau cri pekerjaan dsni bnyk oknum penipuan loker,jng mudah percaya!!!",3
"Tiba2 akun keluar sendiri. Sekalinya mau log in susah dan harus di upgrade. Tolong dong aplikasinya di permudah lagi, baru juga di upgrade eh malah jadi susah buat log in sekalinya bisa log in tampilannya malah kaya website bukan aplikasi kaya sebelumnya. Ini saya liat udh banyak loh yg ngeluh susah log in. Tp blm ada perbaikan jugaa",3
Ini kenapa tiba tiba logout sendiri ? Dan gak bisa login lg Loading nya terlalu lama!!!,1
"Banyak lowong pekerjaan, tapi aku pengen sebuah fitur yang kalau melihat profil perusahaan selain terdapat deskripsi perusahaan terdapat juga lowongan pekerjaan apa saja yang di buka oleh perusahaan tersebut, aku tidak menemukan fitur itu di jobstreet malah aku menemukan fitur tersebut di kitalulus. Tolong buatkan fitur tersebut biar aku juga nyaman menggunakan aplikasi jobstreet. Terimakasih :)",2
Jobstreet sll membantu sya dn mudah sekali untuk mencari informasi pekerjaan smga lancar,5
Kerjaannya pada gak jelas semua.. Udah 6 tahun pake jobstreet gak pernah dapat kerjaan dari sini,1
Sya sudah berkali kali dapat pekerjaan dari aplikasi ini . Terimakasih jobstreet .semoga pembuat aplikasi ini diberi umur panjang dan rezeki yang berlimpah .Amin,5
"Udah gak kaya dulu, jobstreet hanya mementingkan uang dari pada menyalurkan loker, SERING DI PANGGIL INTERVIEW SAMA YAYASAN BODONG YG DISURUH BAYAR DULU BUAT EMBEL² GA JELAS YG UJUNG NYA NIPU!!",1
Gak guna,1
makasii jobstreet udah wujudin dapet kerjaan yg sesuai dan aku mau 🥺🥺❤️,5
"Aplikasinya ga bisa login, tolong segera diperbaiki",1
"Kenapa tidak bisa masuk ke akun, harus login ke seek, tapi tidak bisa masuk,dan tidak mau dipencet ,minta tolong di benahi",2
Bgus,5
Oke,4
Kenapa saya gak bisa login login untuk buat akun,4
G bisa install,1
saya rasa tidak perlu ada notifikasi lamarab ditutup atau kadaluwarsa karena hanya membuat sakit hati dan menambah sampah di penyimpanan email,2
apakah di aplikasi ini bnar bnar real lowongan pekerjaannya,3
Aplikasi gak guna. Gak bisa login. Tolol,1
"aplikasi nya bagus,,,tapi sayangnya melamar lewat ini ga ada panggilan kerja mya",4
Inklusif,5
Saling memberi dan menerima info,5
"banyak loker palsu. fitur pengiklan anonim malah membuat semakin banyak loker bodong. dan anehnya perusahaan yang sudah diverifikasi, ternyata perusahaan bodong. saya sudah cek diberbagai sumber di internet, dan tidak menemukan informasi mengenai perusahaan tersebut. padahal di aplikasi jobstreet terverifikasi. selang berapa lama setelah melamar di perusahaan tersebut, ada beberapa WA yang saya terima, menawarkan loker, dan pastinya itu bodong.",1
Mempermudah utk mendapatkan info lowongan kerja.,3
"Aplikasi'y gak jelas,, Udah daftar & mau login malah gak bisa masuk,, Udah klik ""BERIKUTNYA"" tetep aja gak masuk2,, Tolong di perbaiki lah..",1
Susah buat daftar nya gajelas malah nge stuck di sig in masuk ke akun google. Pokoknya gjls nih aplikasi. Apk gjls cokkkk,1
"Ratusan loker saya lamar tapi blum pernah satu pun di panggil,perlu tinjauan dari sistem aplikasinya",1
"Sering dapat chat WA dari scammers, saya harap untuk keamanan nya lebih ditingkatkan supaya data para pelamar tidak di salah gunakan oleh pihak penipu",3
"kaga guna,isinya nipu smua,gsh di download",1
"banyak yg tipu"" panggilannya diruko""terus dimintain uang",1
sekarang buat daftar jobstreet susah🥲🥲,1
Uda setahun lebih tidak pernah ada panggilan dari jobstreet,1
Bagus banget skrng aplikasinya,5
