content,score
apk bagus,5
"Lucu asli, kalo buka realtime trx harganya Rp.2515 sedangkan mode pro reku harga per trx Rp.2525. lu transaksi sebagai pembeli bisa jual diharga mode pronya. Tapi giliran transaksi jual harus mode lightning. Apa ngga sedih sama exchange lokal wkwk",1
"aplikasi REKU adalah dompet yang sama juga mutu nya dengan Dompet kartu Bank yang ada di Indonesia. selain terpercaya, juga REKU mudah untuk melakukan transaksi perbankan.",5
ok,5
"tambah mahal,, jarak jual dan belinya terlalu gede.,, masa iya skali beli kepotong 10%, 30%",3
"Aplikasi ini bagus untuk berdagang kripto, tampilan juga mudah di pahami tidak ribet, pakai ini saat mau daftar ❣️ nakama ❣️ sangat kompetitif untuk perdagangan yang efisien tanpa biaya yang besar, permintaan topup dan penarikan diproses dengan cepat, ini merupakan nilai tambah yang sangat besar, di tambah pelayanan cs sangat cepat respon, reku salah satu platform andalan, sangat rekomendasi untuk pemakaian. 👍",5
baru mau coba muda mudahan apk nya bagus,5
udh Joss pokoknya,5
"Exchange lokal paling mantap, admin ga ribe terus varian Bank bnyak",5
Sekuritas paraah mines 5 persen abis itu naik 9 persen harusnya udah profit 4 persen ini malah masih mines 4 persen kocak giliran turun aja grecep saldo ngurang nyaa gliran naik di sekuritas lain naik disini malah mines ajaa kocakkk,1
Kirim crypto lama..bgt... Fee juga terlalu mahal... jauh diatas rata² fee market.. market fee 5k.. di sini hmpir 10k.. 2x lipat.. bhkan ada yg 5x lipat.. contoh TRX.. rata² fee market send 1 TRX - 2 TRX .. di sini 5 TRX !! Fee trade crypto juga mahal bgt.. Pantes volume trade kecil..!! Gk ada yg minat trade crypto di sini. Rata² ke saham.,2
reku sangat cocok untuk digunakan dalam aplikasi perdagangan kripto menurut saya aplikasi reku sangat mudah untuk digunakan dan mudah untuk di pelajari,5
good,5
RIBET DAN TIDAK JELASS 👎👎,1
good,5
"Saya cukup lama menggunakan Reku ini,dimana kita bisa tahu profit atau tidak,tapi semenjak versi terbaru ini yg sudah memasukkan saham disamping crypto,menu favorit crypto tidak bisa disimpan. Hal ini terjadi sewaktu kita matikan hp atau logout dimenu favorit tetap hanya 3 crypto padahal kita sdh tambah jadi 10 crypto dengan cara geser kekanan",5
Baik,4
Ok om 👍,5
"Saya menggunakan aplikasi ini isilah 💕💕b a r o k a h 💕💕 ketika daftar biar akunmu aktif, atas rekomendasi seorang teman, seluruh antarmukanya sangat jelas dan lancar, dan fungsi perdagangannya juga sangat lengkap, memiliki variasi perdagangan yang kaya, analisis perubahan harga perdagangan internasional, dan akun demo gratis semuanya Saya sangat menyukainya, tetapi fitur favorit saya adalah kelancaran seluruh transaksi, sehingga saya tidak perlu khawatir akan kelambatan selama transaksi😘.",4
"Buset dehhh.... Beli cuma 10rb,, jadi koin seharga 8rb.. Fee jual beli ga ngotak... Gimna klo beli jutaan... Ilangnya segunung... Contoh indodax.. Fee minim bgt",1
